u,v,key,osmid,name,highway,oneway,reversed,length,geometry,Cost of returning,Edge Betweenness,bridge,lanes,ref,access,maxspeed,tunnel,junction
32618816,340245973,0,316369755,德胜门内大街,secondary,True,False,347.915,"LINESTRING (116.373703 39.9466787, 116.3735339 39.9456002, 116.3733287 39.9444694, 116.3732701 39.9440858, 116.3732895 39.9436627, 116.3733011 39.9435718)",11.91594900034471,0.004401935249129102,,,,,,,
32618819,1356404774,0,"[29458991, 29458996, 139378008, 103140412, 1109603645]",,tertiary_link,True,False,145.345,"LINESTRING (116.3724547 39.9482971, 116.3725458 39.9481993, 116.372684 39.9480587, 116.3727544 39.9479922, 116.3728024 39.9479449, 116.372831 39.9479002, 116.3728537 39.9478577, 116.3728678 39.9478113, 116.3728758 39.947769, 116.3728793 39.9476884, 116.3728766 39.9472312, 116.3728822 39.9470899)",9.411112843620248,0.006676753594368612,yes,,,,,,
32618819,1190930368,0,103140416,,tertiary_link,True,False,78.63,"LINESTRING (116.3724547 39.9482971, 116.3724175 39.9481822, 116.3724014 39.9481488, 116.3722534 39.9478427, 116.3721466 39.9477908, 116.3719798 39.9477688)",18.213628604566704,0.0069743900110595955,,,,,,,
32618821,32618819,0,"[103140464, 103140419, 139378004, 121100429]",,tertiary_link,True,False,145.847,"LINESTRING (116.3725573 39.9495991, 116.3724805 39.9494122, 116.3724641 39.9492639, 116.3724607 39.9485885, 116.3724564 39.9484404, 116.3724547 39.9482971)",9.233868694741936,0.013651143605428207,yes,,,,,,
32618837,1190930418,0,5158566,德胜门东大街,tertiary,True,False,523.746,"LINESTRING (116.3839776 39.9477155, 116.3778339 39.9476721)",14.814491078992976,0.009179248307737755,,,,,,,
32618837,1190930422,0,103140462,,trunk_link,True,False,45.836,"LINESTRING (116.3839776 39.9477155, 116.3834721 39.947575)",17.620724366821417,0.0011981108625403927,,,,,,,
32877189,1803810848,0,26812214,东直门内大街,primary,True,False,9.907,"LINESTRING (116.4194138 39.9395643, 116.4194651 39.9395644, 116.41953 39.9395646)",5.097955982870111,0.00741907942374823,,,,,,,
32877189,245145380,0,34104275,东直门南小街,secondary,True,False,503.27200000000005,"LINESTRING (116.4194138 39.9395643, 116.4194449 39.9385978, 116.4195135 39.9364632, 116.4195297 39.9359598, 116.419532 39.9358886, 116.4195328 39.9350394)",10.160839696523043,0.01703991901638045,,,,,,,
32877193,32877197,0,701332262,东直门桥,secondary,True,False,29.841,"LINESTRING (116.4269668 39.939456, 116.4271131 39.9394046, 116.427294 39.9393624)",18.067357188913107,0.0071495423056555235,,,,,,,
32877193,9699950120,0,1055624780,,secondary_link,True,False,26.874000000000002,"LINESTRING (116.4269668 39.939456, 116.4270785 39.9393279, 116.4271463 39.9392574)",9.383230011587454,0.0039098372762413226,,,,,,,
32877196,1803810883,0,229772537,安定门东大街,tertiary,True,False,10.303,"LINESTRING (116.4191892 39.9480266, 116.41931 39.9480297)",5.001984954063277,0.005350971046915021,,,,,,,
32877196,340254110,0,1137232253,东直门北小街,secondary,True,False,124.936,"LINESTRING (116.4191892 39.9480266, 116.4192214 39.9469033)",7.604337649016691,0.012195167641135932,,,,,,,
32877197,32877202,0,30186787,东直门桥,secondary,True,False,47.527,"LINESTRING (116.427294 39.9393624, 116.4278511 39.9393778)",17.727732321473617,0.007182685068104774,yes,,,,,,
32877202,332616892,0,26812207,东直门外大街,secondary,True,False,49.569,"LINESTRING (116.4278511 39.9393778, 116.4280508 39.9394212, 116.4281583 39.9394826, 116.4283654 39.9395753)",19.258022698060028,0.005545792850529744,,,,,,,
32877202,9699923715,0,1055624778,,secondary_link,True,False,39.265,"LINESTRING (116.4278511 39.9393778, 116.4281139 39.9393421, 116.4281675 39.939303, 116.428248 39.9392351)",18.227269299130175,0.0016368922175750305,,,,,,,
32899013,733858790,0,30843481,亮果厂胡同,residential,False,True,137.652,"LINESTRING (116.4028883 39.9258827, 116.4012749 39.9258423)",1.7521050165523158,0.00757787648557029,,,,,,,
32899013,266111580,0,30843384,美术馆东街,secondary,False,False,134.865,"LINESTRING (116.4028883 39.9258827, 116.4030153 39.9258861, 116.40428 39.9259172, 116.404355 39.9259161, 116.404469 39.925912)",1.722747252162088,0.0004997352181478239,,,,,,,
32899013,1860131873,0,175425326,美术馆后街,secondary,True,False,274.981,"LINESTRING (116.4028883 39.9258827, 116.4029263 39.9260489, 116.402908 39.9264632, 116.4028246 39.9283518)",2.8535382926439423,0.010734436410927025,,,,,,,
35551151,3574930193,0,170765060,朝外北街,tertiary,False,False,110.195,"LINESTRING (116.4313674 39.9255377, 116.4326596 39.9255469)",1.9162513125416838,0.0005654443471776416,,,,,,,
35551151,266112274,0,170765082,吉市口路,tertiary,False,False,269.163,"LINESTRING (116.4313674 39.9255377, 116.4314339 39.9231176)",1.9207135939452618,0.006527322965412645,,,,,,,
35551151,534075678,0,5135877,东中街,tertiary,False,True,175.81099999999998,"LINESTRING (116.4313674 39.9255377, 116.4313342 39.9262529, 116.4312984 39.9266181, 116.4312449 39.9268944, 116.4311742 39.9271075)",1.9456246142890536,0.0006934762795087666,,,,,,,
35551151,1819087375,0,170765061,朝外北街,tertiary,True,False,253.113,"LINESTRING (116.4313674 39.9255377, 116.431147 39.9255736, 116.428849 39.9256234, 116.4285698 39.9256291, 116.4284876 39.9256308, 116.4284058 39.925639)",8.12834343853283,0.0002709060582808273,,,,,,,
35551152,3574930193,0,170765060,朝外北街,tertiary,False,True,160.228,"LINESTRING (116.4345379 39.9255861, 116.4326596 39.9255469)",2.054267733376548,0.002385558401510157,,,,,,,
