u,v,key,osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,Cost of returning,Edge Betweenness,bridge,tunnel,access,junction
69549015,69549011,0,9269989,,,Foundry Street Northwest,residential,,False,False,79.044,"LINESTRING (-84.4072409 33.7592612, -84.4063859 33.759255)",1.7182520537636135,9.030996514969377e-05,,,,
69549015,69549017,0,9269989,,,Foundry Street Northwest,residential,,False,True,51.411,"LINESTRING (-84.4072409 33.7592612, -84.407797 33.7592653)",1.8173052598779518,0.00021130954908094902,,,,
69549015,69178120,0,9272813,,,Graves Street Northwest,residential,,False,False,89.162,"LINESTRING (-84.4072409 33.7592612, -84.40723 33.760063)",1.5361269762276781,0.0010664339269490031,,,,
69549015,69521869,0,9272813,,,Graves Street Northwest,residential,,False,True,132.575,"LINESTRING (-84.4072409 33.7592612, -84.4072542 33.758278, -84.407257 33.758069)",1.651537379769063,0.0011924675787831627,,,,
69549017,69549015,0,9269989,,,Foundry Street Northwest,residential,,False,False,51.411,"LINESTRING (-84.407797 33.7592653, -84.4072409 33.7592612)",1.8173052598779524,0.000700645209811459,,,,
69549017,69549019,0,9269989,,,Foundry Street Northwest,residential,,False,True,100.4,"LINESTRING (-84.407797 33.7592653, -84.408883 33.7592733)",1.7008721924605272,0.0001735237140989079,,,,
69549017,69178121,0,601685594,,,Vine Street Northwest,residential,,True,False,89.816,"LINESTRING (-84.407797 33.7592653, -84.407788 33.760073)",4.983946570508001,0.0002884581559784712,,,,
69549019,69549017,0,9269989,,,Foundry Street Northwest,residential,,False,False,100.4,"LINESTRING (-84.408883 33.7592733, -84.407797 33.7592653)",1.7008721924605275,0.0003647576429887564,,,,
69549019,69525882,0,9269989,,,Foundry Street Northwest,residential,,False,True,97.626,"LINESTRING (-84.408883 33.7592733, -84.409939 33.759281)",1.6210526363124746,0.00010880864840735434,,,,
69549019,69178124,0,9272430,,,Elm Street Northwest,residential,,False,False,90.373,"LINESTRING (-84.408883 33.7592733, -84.408873 33.760086)",1.677221207453097,0.0021000554353983523,,,,
69549019,69403642,0,9272430,,,Elm Street Northwest,residential,,False,True,54.632,"LINESTRING (-84.408883 33.7592733, -84.408888 33.758782)",1.629614577419051,0.00012664016603932882,,,,
69549506,69549518,0,9270010,,,Ponce de Leon Terrace Northeast,residential,,False,False,465.10900000000004,"LINESTRING (-84.36371 33.778665, -84.3632769 33.7786697, -84.3631312 33.7786713, -84.363112 33.7786715, -84.3629684 33.7786731, -84.3626373 33.7786767, -84.3624611 33.7786787, -84.3622941 33.7786806, -84.3621251 33.7786825, -84.3619622 33.7786843, -84.3616236 33.7786882, -84.3612749 33.7786921, -84.3612292 33.7786926, -84.360854 33.778722, -84.3607586 33.7787335, -84.3605975 33.7787529, -84.3604298 33.7787731, -84.3601333 33.7788088, -84.3599463 33.7788313, -84.359781 33.7788512, -84.359672 33.778863, -84.359622 33.7788658, -84.3594532 33.7788731, -84.3593852 33.7788722, -84.3587784 33.7788738, -84.358692 33.778874)",1.6335052112320494,4.324446282856391e-05,,,,
69549506,69541419,0,9270016,,,Ponce de Leon Place Northeast,residential,30 mph,False,False,225.42499999999998,"LINESTRING (-84.36371 33.778665, -84.3637076 33.7788414, -84.3637059 33.7789702, -84.3637041 33.7791082, -84.3637027 33.7792513, -84.3636952 33.7794148, -84.3636867 33.7795105, -84.3636788 33.7796005, -84.3636731 33.7797025, -84.3636711 33.7797383, -84.3636515 33.7800135, -84.3636473 33.7800769, -84.3636361 33.7802466, -84.363615 33.7805651, -84.3636068 33.78069)",1.6800788157684834,0.0007827065817708516,,,,
69549506,69244358,0,9270016,,,Ponce de Leon Place Northeast,residential,30 mph,False,True,108.195,"LINESTRING (-84.36371 33.778665, -84.3637086 33.7784378, -84.3637069 33.7781673, -84.3637053 33.777896, -84.363704 33.777692)",1.7395698128411428,0.0011623238227862535,,,,
69549506,69680080,0,9278628,,,Pylant Street Northeast,residential,,False,True,188.87800000000001,"LINESTRING (-84.36371 33.778665, -84.3643614 33.778664, -84.364479 33.7786635, -84.3648677 33.7786632, -84.3655533 33.7786622, -84.3657536 33.7786619)",1.4605702570905352,0.0002462447672986949,,,,
69549518,69250785,0,9275167,,,Barnett Street Northeast,residential,,False,False,33.137,"LINESTRING (-84.358692 33.778874, -84.35869 33.779172)",1.5719282715605196,0.0022449516790132742,,,,
69549518,69549506,0,9270010,,,Ponce de Leon Terrace Northeast,residential,,False,True,465.10899999999987,"LINESTRING (-84.358692 33.778874, -84.3587784 33.7788738, -84.3593852 33.7788722, -84.3594532 33.7788731, -84.359622 33.7788658, -84.359672 33.778863, -84.359781 33.7788512, -84.3599463 33.7788313, -84.3601333 33.7788088, -84.3604298 33.7787731, -84.3605975 33.7787529, -84.3607586 33.7787335, -84.360854 33.778722, -84.3612292 33.7786926, -84.3612749 33.7786921, -84.3616236 33.7786882, -84.3619622 33.7786843, -84.3621251 33.7786825, -84.3622941 33.7786806, -84.3624611 33.7786787, -84.3626373 33.7786767, -84.3629684 33.7786731, -84.363112 33.7786715, -84.3631312 33.7786713, -84.3632769 33.7786697, -84.36371 33.778665)",1.6335052112320518,4.324446282856391e-05,,,,
69549518,69244377,0,9275167,,,Barnett Street Northeast,residential,,False,True,79.95,"LINESTRING (-84.358692 33.778874, -84.3586935 33.7786653, -84.3586946 33.7784936, -84.3586965 33.7782228, -84.358697 33.778155)",1.507500212634432,0.002205043044313141,,,,
69551803,69551806,0,9270118,,,White Place Southwest,residential,,False,False,34.725,"LINESTRING (-84.4188469 33.7269278, -84.4190703 33.7266768)",1.2503981644098852,0.0002462447672986949,,,,
69551806,69551803,0,9270118,,,White Place Southwest,residential,,False,True,34.725,"LINESTRING (-84.4190703 33.7266768, -84.4188469 33.7269278)",1.2503981644098854,0.0002462447672986949,,,,
69551806,69310542,0,9276791,,,Dimmock Street Southwest,residential,,False,True,62.417,"LINESTRING (-84.4190703 33.7266768, -84.418502 33.726374)",1.4579448064026133,0.003711684981373949,,,,
69551806,69367766,0,9276791,,,Dimmock Street Southwest,residential,,False,False,305.425,"LINESTRING (-84.4190703 33.7266768, -84.4215599 33.7279835, -84.421778 33.728098, -84.421853 33.728154)",1.4579631029675921,0.0032362991473623304,,,,
69551933,69377201,0,490786129,,,Joseph E. Boone Boulevard Northwest,secondary,,False,True,49.179,"LINESTRING (-84.42151 33.763495, -84.420978 33.763493)",1.529193346438852,0.005920245808077071,,,,
69551933,69548134,0,9270129,,,Flowers Place Northwest,residential,,False,False,169.413,"LINESTRING (-84.42151 33.763495, -84.4215102 33.763432, -84.421511 33.763098, -84.421525 33.762973, -84.421569 33.762821, -84.4215731 33.7628069, -84.421776 33.762102, -84.4217945 33.7620557, -84.421816 33.762002)",1.5302761498851116,0.0029637923149798094,,,,
69551933,69225889,0,490786129,,,Joseph E. Boone Boulevard Northwest,secondary,,False,False,46.128,"LINESTRING (-84.42151 33.763495, -84.4215966 33.7634953, -84.422009 33.763497)",1.512828784536696,0.006249522370063429,,,,
69553648,69168685,0,9277592,1,,Howell Street Northeast,residential,,True,False,138.313,"LINESTRING (-84.369769 33.754278, -84.3697687 33.7543475, -84.3697652 33.7551589, -84.369764 33.755432, -84.369771 33.755471, -84.369793 33.755518)",8.925692309492465,0.0045988939606954535,,,,
69553648,69379292,0,44163840,2,,Edgewood Avenue Northeast,secondary,,False,False,86.998,"LINESTRING (-84.369769 33.754278, -84.3697164 33.7542782, -84.369008 33.7542812, -84.3688845 33.7542817, -84.368828 33.754282)",1.6530785629988467,0.01382051789034951,,,,
69553648,69580783,0,44163840,2,,Edgewood Avenue Northeast,secondary,,False,True,140.659,"LINESTRING (-84.369769 33.754278, -84.3698311 33.7542787, -84.3699388 33.7542799, -84.3705167 33.7542865, -84.3709155 33.754291, -84.3712903 33.7542952)",1.6669002438495466,0.014140636087837813,,,,
