u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,Cost of returning,Edge Betweenness,ref,width,bridge,access,tunnel,junction
16541700,29420144,0,"[1058153657, 144530303]",False,,Talstraße,residential,30,True,78.236,"LINESTRING (13.4273298 52.5524326, 13.4273922 52.5525131, 13.4274364 52.5526369, 13.4275899 52.5531158)",1.588383236015438,0.0008192241004664,,,,,,
16541700,16541698,0,"[1134444713, 461931309, 461931313]",True,"['2', '3']",Wisbyer Straße,primary,50,False,224.63500000000002,"LINESTRING (13.4273298 52.5524326, 13.4271916 52.5524635, 13.427152 52.5524717, 13.4269072 52.5525225, 13.4265126 52.5525784, 13.4256882 52.5526669, 13.425532 52.5526839, 13.4253716 52.5527014, 13.4253125 52.5527078, 13.424564 52.5527908, 13.4241834 52.5528321, 13.4240817 52.5528431)",8.419014991952121,0.0012377594284323258,,,,,,
16541701,16541702,0,"[4068202, 852065347]",True,2,"['Prenzlauer Allee', 'Prenzlauer Promenade']",primary,50,False,35.517,"LINESTRING (13.430239 52.550953, 13.4302865 52.5510572, 13.4303041 52.5510957, 13.4303388 52.5511717, 13.4303806 52.5512606)",5.270331125245286,0.007881606399072877,,,,,,
16541701,652987765,0,1136606922,True,2,Ostseestraße,primary,50,False,138.546,"LINESTRING (13.430239 52.550953, 13.4303163 52.5509234, 13.4303713 52.5509026, 13.4319706 52.5502868)",8.284683442192108,0.0018850144191207548,,,,,,
16541702,12615161,0,4484351,True,2,Prenzlauer Promenade,primary,50,False,51.753,"LINESTRING (13.4303806 52.5512606, 13.4303986 52.5513094, 13.4304582 52.5514562, 13.4304718 52.5515003, 13.4304893 52.5515853, 13.4304918 52.5516538, 13.4304841 52.5517188)",12.502497300716527,0.0048148363866624255,,,,,,
16541702,16541703,0,48941989,True,2,Ostseestraße,primary,50,False,21.919999999999998,"LINESTRING (13.4303806 52.5512606, 13.430263 52.5513048, 13.4302247 52.5513196, 13.430159 52.5513443, 13.4301135 52.5513615, 13.4301052 52.5513646)",5.124894439348589,0.007266534945646412,,,,,,
16541703,12615173,0,"[4068144, 852065264]",True,2,"['Prenzlauer Allee', 'Prenzlauer Promenade']",primary,50,False,36.442,"LINESTRING (13.4301052 52.5513646, 13.4301032 52.5513577, 13.4300922 52.5513198, 13.4300584 52.5512031, 13.4300391 52.5511561, 13.4299934 52.5510442)",5.1552928690895685,0.005287060724585087,,,,,,
16541703,16541700,0,"[936545403, 4588955, 1134444711]",True,2,Wisbyer Straße,primary,"['50', '30']",False,222.31099999999998,"LINESTRING (13.4301052 52.5513646, 13.4299778 52.5514132, 13.4299109 52.5514392, 13.4292412 52.5517028, 13.429183 52.5517258, 13.4288595 52.5518537, 13.4280413 52.5521648, 13.427685 52.5523228, 13.4275403 52.5523736, 13.4274939 52.5523898, 13.4274448 52.5524041, 13.4273298 52.5524326)",4.369331217310995,0.0022027428438299457,,,,,,
16541704,16541705,0,4068003,False,2,Hosemannstraße,tertiary,50,False,50.801,"LINESTRING (13.43953 52.5477548, 13.4394773 52.5476999, 13.4394333 52.5476541, 13.4393067 52.5475223, 13.4392196 52.5474317, 13.4391511 52.5473603)",1.7951426888718542,0.0031068687583725735,,,,,,
16541704,29420511,0,30134530,True,2,Ostseestraße,primary,50,False,221.99599999999998,"LINESTRING (13.43953 52.5477548, 13.4393641 52.5477494, 13.4391581 52.5477885, 13.4387705 52.5479475, 13.4382889 52.5481451, 13.4382516 52.5481604, 13.4380811 52.5482238, 13.4379316 52.5482793, 13.4379141 52.5482858, 13.4373345 52.5485139, 13.4368262 52.548714, 13.43673 52.5487537)",5.2355617246095045,0.0011686133599762246,,,,,,
16541704,287650997,0,60827458,False,2,Hosemannstraße,tertiary,50,True,61.04,"LINESTRING (13.43953 52.5477548, 13.4395635 52.5477896, 13.4396618 52.5478916, 13.4397097 52.5479408, 13.4397236 52.5479555, 13.4397487 52.5479819, 13.4399766 52.5482318)",1.6207057946438017,0.002655552518903161,,,,,,
