u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,Cost of returning,Edge Betweenness,geometry,ref,bridge,width,tunnel,junction,access
81600874,81600871,0,109677457,True,1,Viamonte,residential,40,False,121.195,5.186906682339135,0.0080122582938876,"LINESTRING (-58.3927613 -34.6008055, -58.3916506 -34.6007539, -58.3915628 -34.6007517, -58.3914394 -34.6007433)",,,,,,
81600874,437539853,0,109677462,True,5,Avenida Callao,secondary,60,False,128.663,5.291705970796527,0.026977126535510626,"LINESTRING (-58.3927613 -34.6008055, -58.3927985 -34.6006038, -58.3928461 -34.6003168, -58.3928656 -34.6001836, -58.3928818 -34.6000727, -58.3929401 -34.5996579)",,,,,,
81601542,81601544,0,316893075,True,2,José Antonio Cabrera,residential,40,False,150.073,6.909812280386436,0.01938020331895886,"LINESTRING (-58.423155 -34.5963409, -58.4215183 -34.5964206)",,,,,,
81601542,81601843,0,316893072,True,1,Gascón,residential,30,False,118.327,10.393811937432764,0.019712549733616837,"LINESTRING (-58.423155 -34.5963409, -58.4230519 -34.5955333, -58.4230198 -34.5952826)",,,,,,
81601544,81830149,0,29094526,True,2,Francisco Acuña de Figueroa,residential,30,False,146.211,6.926258572412703,0.00784366920888821,"LINESTRING (-58.4215183 -34.5964206, -58.4217533 -34.5977212)",,,,,,
81601544,196222956,0,316893075,True,2,José Antonio Cabrera,residential,40,False,141.975,10.469292414600297,0.017863097435937614,"LINESTRING (-58.4215183 -34.5964206, -58.420476 -34.5964864, -58.4201803 -34.5964998, -58.4199728 -34.596524)",,,,,,
81601548,1292569017,0,71179528,True,1,Jerónimo Salguero,residential,40,False,120.872,8.813108765923612,0.0036315864905426547,"LINESTRING (-58.4187305 -34.5965626, -58.4185322 -34.5954879)",,,,,,
81601548,81601549,0,302353663,True,2,José Antonio Cabrera,residential,40,False,158.79,5.303173168160798,0.018415256071606614,"LINESTRING (-58.4187305 -34.5965626, -58.4169987 -34.5966464)",,,,,,
81601549,195776312,0,302353663,True,2,José Antonio Cabrera,residential,40,False,135.609,10.891159943121274,0.01816518008572448,"LINESTRING (-58.4169987 -34.5966464, -58.4155203 -34.5967258)",,,,,,
81601549,81832373,0,456300973,True,2,Bulnes,residential,40,False,134.515,5.306510750755617,0.008896926579192306,"LINESTRING (-58.4169987 -34.5966464, -58.4171582 -34.5973566, -58.4172646 -34.5977598, -58.417271 -34.5978345)",,,,,,
81601552,81601852,0,71179531,True,1,Billinghurst,residential,30,False,136.15,8.923941896965584,0.006338577420227882,"LINESTRING (-58.4142259 -34.5967964, -58.4138302 -34.5956161)",,,,,,
81601552,81601553,0,533352573,True,2,José Antonio Cabrera,residential,40,False,112.732,5.241519470265483,0.018570492535427703,"LINESTRING (-58.4142259 -34.5967964, -58.412995 -34.5968308)",,,,,,
81601553,81832377,0,"[117293715, 507883615]",True,2,Sánchez de Bustamante,residential,40,False,127.527,5.242370085797392,0.003001760652469794,"LINESTRING (-58.412995 -34.5968308, -58.4132121 -34.5977938, -58.4132372 -34.5978819, -58.4132586 -34.5979568)",,,,,,
81601553,192900538,0,533352573,True,2,José Antonio Cabrera,residential,40,False,113.506,12.438805349491995,0.018201907955713695,"LINESTRING (-58.412995 -34.5968308, -58.4120392 -34.5968728, -58.4119224 -34.5968779, -58.4117567 -34.5968852)",,,,,,
81601556,195754732,0,533355211,True,2,José Antonio Cabrera,residential,20,False,127.02,8.56906115691422,0.02380475268431759,"LINESTRING (-58.4102508 -34.5969546, -58.4088632 -34.5969692)",,,,,,
81601556,81832379,0,48397529,True,1,Agüero,residential,40,False,128.202,5.264319034737783,0.005953016402829972,"LINESTRING (-58.4102508 -34.5969546, -58.4102895 -34.5978554, -58.4103 -34.598032, -58.4103061 -34.5981066)",,,,,,
81601843,196222943,0,9940930,True,,Gorriti,residential,30,False,157.043,10.468650603956501,0.010749186518488482,"LINESTRING (-58.4230198 -34.5952826, -58.4213079 -34.5953763)",,,,,,
81601843,89138852,0,449729133,True,,Gascón,residential,40,False,129.699,10.393333568492721,0.019530216263492595,"LINESTRING (-58.4230198 -34.5952826, -58.4228762 -34.5941222)",,,,,,
81601852,81601854,0,47396466,True,,Gorriti,residential,40,False,102.827,8.908604633597816,0.0068442467342394175,"LINESTRING (-58.4138302 -34.5956161, -58.4127069 -34.5956052)",,,,,,
81601852,1287085948,0,533352572,True,,Billinghurst,residential,30,False,100.133,12.202009048515906,0.006663643554879109,"LINESTRING (-58.4138302 -34.5956161, -58.4135105 -34.5947549)",,,,,,
81601854,3088226153,0,1288647063,True,,Gorriti,residential,40,False,24.461,16.15588012014918,0.006719371976276081,"LINESTRING (-58.4127069 -34.5956052, -58.4124403 -34.5956204)",,,,,,
81601854,81601553,0,117293715,True,2,Sánchez de Bustamante,residential,40,False,138.809,8.774696169638037,0.002633176072755788,"LINESTRING (-58.4127069 -34.5956052, -58.4129698 -34.5967205, -58.412995 -34.5968308)",,,,,,
81603096,196137862,0,121035102,True,2,Avenida Medrano,secondary,60,False,85.505,9.645935926402055,0.009158657542484351,"LINESTRING (-58.4202189 -34.5981492, -58.4203538 -34.5989101)",,,,,,
81603100,81614077,0,226301468,True,2,Billinghurst,residential,30,False,17.595,5.084122125892109,0.007528005408954221,"LINESTRING (-58.4149407 -34.5995911, -58.4149257 -34.5995058, -58.4149116 -34.5994347)",,,,,,
81603100,196137975,0,472796131,True,,Tucumán,residential,40,False,110.58900000000001,14.15598087500788,0.0027828625473340623,"LINESTRING (-58.4149407 -34.5995911, -58.4150133 -34.5995702, -58.4160821 -34.5992649)",,,,,,
81603101,81603100,0,870586744,True,,Tucumán,residential,30,False,117.464,5.0255380477739084,0.0031779891344269422,"LINESTRING (-58.4137298 -34.599941, -58.4147827 -34.5996376, -58.4148174 -34.5996276, -58.4148522 -34.5996176, -58.4149407 -34.5995911)",,,,,,
81603101,196137884,0,902177699,True,2,Sánchez de Bustamante,residential,40,False,134.484,8.535644827184004,0.0026980130059100853,"LINESTRING (-58.4137298 -34.599941, -58.4139803 -34.6010188, -58.4140065 -34.6011288)",,,,,,
81603102,192900537,0,48099563,True,2,Gallo,residential,40,False,105.98,5.323830414247128,0.004723399962586543,"LINESTRING (-58.412293 -34.6002418, -58.4121152 -34.5993)",,,,,,
81603102,81603101,0,870586744,True,,Tucumán,residential,30,False,135.695,12.079940043661054,0.00308086432267768,"LINESTRING (-58.412293 -34.6002418, -58.4137298 -34.599941)",,,,,,
81603109,195723939,0,47414710,True,,Larrea,residential,40,False,115.507,5.253945928283541,0.004573615547021631,"LINESTRING (-58.4023153 -34.6020854, -58.4023778 -34.6010479)",,,8.7,,,
81603109,82721348,0,276148012,True,1,Tucumán,residential,30,False,118.405,8.792921200512883,0.0038793445397410243,"LINESTRING (-58.4023153 -34.6020854, -58.4035973 -34.6019427)",,,,,,
81603112,199483241,0,276148012,True,1,Tucumán,residential,30,False,133.677,5.3084217693792315,0.0020418083954360806,"LINESTRING (-58.3970281 -34.6021762, -58.3984885 -34.6021926)",,,,,,
