u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,Cost of returning,Edge Betweenness,geometry,access,junction,ref,width,est_width,tunnel,bridge,service
21638921,21638920,0,245672926,True,2,Plaça del Portal de la Pau,secondary,50,False,16.509999999999998,7.94279186378058,0.018173576861915747,"LINESTRING (2.1774317 41.3755381, 2.1775 41.3755022, 2.177604 41.3754663)",,circular,,,,,,
21638922,21638921,0,246638753,True,4,Plaça del Portal de la Pau,secondary,50,False,20.481,7.871655786821269,0.032062838682113154,"LINESTRING (2.1773686 41.3757129, 2.177372 41.3756408, 2.1774317 41.3755381)",,circular,,,,,,
26057050,178518958,0,"[545747633, 22650940]",True,5,Gran Via de les Corts Catalanes,primary,50,False,119.289,18.08983904682157,0.02257660860877782,"LINESTRING (2.148548 41.3749125, 2.1485551 41.3748409, 2.1485537 41.3747971, 2.1485454 41.3747634, 2.1485287 41.3747306, 2.1485035 41.3747004, 2.1484583 41.3746566, 2.1481493 41.374403, 2.1479642 41.3742484, 2.1479477 41.374235, 2.1479345 41.3742243, 2.1477349 41.3740736)",,,C-31,17,,,,
26057050,168319807,0,"[887560129, 185961550]",True,7,Plaça d'Espanya,primary,50,False,58.20400000000001,13.475075989412906,0.025349379372154323,"LINESTRING (2.148548 41.3749125, 2.1485727 41.374854, 2.1486081 41.3747986, 2.1486534 41.3747475, 2.1487081 41.3747, 2.1487701 41.3746618, 2.1488392 41.3746289, 2.1489137 41.3746035, 2.1489739 41.3745899, 2.1490341 41.3745798)",,circular,,28,,,,
26057076,190958411,0,18508391,True,3,Ronda del Port,secondary_link,50,False,24.354,28.90591410810165,0.00824510322581144,"LINESTRING (2.1762752 41.3733143, 2.1763699 41.3733029, 2.1764392 41.3732823, 2.1765014 41.3732409, 2.1765207 41.3732161)",,,,,,,,
26057076,9425413590,0,294871189,True,4,Plaça de les Drassanes,secondary,50,False,41.587,13.609267472666021,0.003402379024018294,"LINESTRING (2.1762752 41.3733143, 2.1763721 41.3733263, 2.1764555 41.3733467, 2.1765322 41.3733703, 2.1766014 41.3733965, 2.1766604 41.3734257, 2.1767242 41.3734636)",,circular,,14,,,,
26057079,2984928288,0,"[245672930, 294871188]",True,"['4', '3']",Plaça de les Drassanes,secondary,50,False,50.007,13.605401323978702,0.011783335184389695,"LINESTRING (2.1768881 41.3736617, 2.1769191 41.3737282, 2.1769366 41.3738036, 2.1769395 41.3738474, 2.1769389 41.3738609, 2.176936 41.3739294, 2.1769233 41.3739818, 2.1768994 41.374039, 2.1768617 41.374096)",,circular,,9,,,,
26057079,1401592250,0,450445885,True,3,Moll de Barcelona,secondary_link,50,False,64.619,7.3850683433373705,0.0011244458748972794,"LINESTRING (2.1768881 41.3736617, 2.1769323 41.3737086, 2.1769624 41.3737285, 2.1770022 41.3737431, 2.1770441 41.3737528, 2.1770823 41.3737586, 2.1771212 41.373753, 2.1772824 41.3736939, 2.1773517 41.37366, 2.1773826 41.3736422, 2.1774168 41.3736226, 2.1774462 41.3735993, 2.1774812 41.3735595, 2.1775017 41.3735332)",,,,,,,,
26057116,216350784,0,"[20355312, 545937949, 140001534]",True,"['6', '4']",Plaça de Catalunya,secondary,50,False,174.01100000000002,15.716514000421652,0.019005444167201156,"LINESTRING (2.1701343 41.3857494, 2.1702358 41.3858532, 2.1703254 41.3859449, 2.1708651 41.3865666, 2.1711076 41.3868421, 2.1711329 41.3868709, 2.1711846 41.3869032, 2.1713775 41.3869833)",,,,12,,,,
26057116,1126640615,0,"[931616773, 603022119, 914791432, 905246827, 126304603]",True,3,Plaça de Catalunya,secondary,50,False,115.73299999999999,10.713251982772116,0.007040928788788113,"LINESTRING (2.1701343 41.3857494, 2.1700047 41.3859007, 2.1699754 41.3859349, 2.169774 41.3861586, 2.1697669 41.3861671, 2.1697538 41.3861828, 2.1694773 41.386515, 2.1694546 41.3865427, 2.169434 41.3865661, 2.1693842 41.3866248)",,,,,,,,
26057125,26057304,0,"[542956869, 542956870, 542956871, 20475367, 542956873, 931358907, 257568507]",True,5,Ronda de la Universitat,secondary,50,False,211.043,4.644448058843726,0.02341486656804101,"LINESTRING (2.1685651 41.3873921, 2.1682516 41.387276, 2.1681863 41.3872512, 2.1679342 41.3871582, 2.1678839 41.3871431, 2.1675872 41.387034, 2.1673875 41.3869606, 2.1672819 41.3869216, 2.1670202 41.3868266, 2.1669825 41.3868121, 2.166819 41.3867511, 2.1664239 41.3866121, 2.1662922 41.3865594)",,,,,,,,
26057125,11466476297,0,"[962829744, 1235276476, 1235264093, 893745919]",False,"['2', '3']",Rambla de Catalunya,residential,30,True,145.383,1.6981650365368886,0.007551408044029545,"LINESTRING (2.1685651 41.3873921, 2.1683417 41.387497, 2.1683137 41.3875194, 2.1682093 41.3875966, 2.1681398 41.387648, 2.1673514 41.3882245, 2.1673423 41.3882322, 2.1673163 41.3882541, 2.1672895 41.3882767)",,,,7,,,,
26057131,30254228,0,"[20042722, 1213183375]",True,5,Plaça d'Urquinaona,secondary,50,False,51.834,5.043137989455624,0.017116284391317266,"LINESTRING (2.1723496 41.3888075, 2.1724133 41.3887584, 2.1726034 41.3886118, 2.1726442 41.3885804, 2.1726843 41.3885536, 2.1727801 41.3884717)",,,,,,,,
26057131,1362899977,0,"[556115013, 889928966, 887044711, 519375847, 68506254]",True,5,Ronda de Sant Pere,secondary,50,False,195.721,5.641855722940509,0.02377557775506118,"LINESTRING (2.1723496 41.3888075, 2.1722292 41.3887626, 2.1719913 41.3886728, 2.1715004 41.3884889, 2.1710161 41.388309, 2.1706501 41.3881731, 2.1705016 41.3881143, 2.1704112 41.3880803, 2.1702504 41.3880216)",,,,,,,,
