osmid,y,x,highway,street_count,geometry
206163469,-34.6271259,-58.4578456,traffic_signals,4,POINT (-58.4578456 -34.6271259)
206163470,-34.6419868,-58.4433076,,3,POINT (-58.4433076 -34.6419868)
206163474,-34.641212,-58.4443163,,4,POINT (-58.4443163 -34.641212)
206163477,-34.6404787,-58.4452998,,4,POINT (-58.4452998 -34.6404787)
206163480,-34.6397468,-58.4462754,,4,POINT (-58.4462754 -34.6397468)
206163481,-34.6389954,-58.4472504,,4,POINT (-58.4472504 -34.6389954)
206163482,-34.6380082,-58.4485014,,5,POINT (-58.4485014 -34.6380082)
206163483,-34.6318446,-58.4516998,,3,POINT (-58.4516998 -34.6318446)
206163484,-34.6373857,-58.4473341,,4,POINT (-58.4473341 -34.6373857)
206163485,-34.6389134,-58.4494825,traffic_signals,4,POINT (-58.4494825 -34.6389134)
206163486,-34.6405495,-58.4513306,,4,POINT (-58.4513306 -34.6405495)
206163487,-34.6396892,-58.450371,,4,POINT (-58.450371 -34.6396892)
206163488,-34.6393254,-58.4447808,,3,POINT (-58.4447808 -34.6393254)
206163489,-34.6389154,-58.4453661,,4,POINT (-58.4453661 -34.6389154)
206163490,-34.6381681,-58.4463505,,4,POINT (-58.4463505 -34.6381681)
206163491,-34.6355836,-58.4485023,,3,POINT (-58.4485023 -34.6355836)
206163494,-34.6205286,-58.4448777,traffic_signals,4,POINT (-58.4448777 -34.6205286)
206163496,-34.6212127,-58.4464838,,4,POINT (-58.4464838 -34.6212127)
206163498,-34.6224189,-58.4457955,traffic_signals,4,POINT (-58.4457955 -34.6224189)
206163504,-34.6238027,-58.4449959,traffic_signals,4,POINT (-58.4449959 -34.6238027)
206163506,-34.6269745,-58.444379,,4,POINT (-58.444379 -34.6269745)
206163507,-34.6282236,-58.4440841,,3,POINT (-58.4440841 -34.6282236)
206163509,-34.623001,-58.4472738,traffic_signals,3,POINT (-58.4472738 -34.623001)
206163510,-34.6247109,-58.4465213,traffic_signals,4,POINT (-58.4465213 -34.6247109)
206163511,-34.6258763,-58.4460426,,4,POINT (-58.4460426 -34.6258763)
