u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,Cost of returning,Edge Betweenness,access,ref,tunnel,bridge,width,junction
42423549,42451712,0,32935868,True,1,,motorway_link,,False,114.753,"LINESTRING (-73.9747151 40.721087, -73.9748411 40.7207815, -73.9748709 40.7206111, -73.9748889 40.7204723, -73.9749086 40.7203156, -73.9749559 40.7200751)",17.181431139395844,0.004528348470152544,,,,,,
42423549,42423039,0,"[432550169, 32936738, 32936739]",True,3,FDR Drive,motorway,40 mph,False,530.577,"LINESTRING (-73.9747151 40.721087, -73.974961 40.7190695, -73.9750115 40.7186703, -73.9750434 40.7184896, -73.9750795 40.71829, -73.9751269 40.718077, -73.9751825 40.7178593, -73.9752401 40.7176466, -73.9753055 40.7174395, -73.9753802 40.7172304, -73.9754591 40.7170266, -73.9755435 40.7168165, -73.9756384 40.7166107, -73.9757407 40.7163982)",37.73469930907758,0.0,,FDR,yes,,,
42423564,42423565,0,32947291,True,2,Queensboro Bridge Approach,trunk,25 mph,False,84.96600000000001,"LINESTRING (-73.9645095 40.7589831, -73.9644365 40.7590789, -73.9643494 40.7591931, -73.9640382 40.7595885, -73.9640002 40.7596426)",8.619824726092777,0.0027747112247597213,,,,,,
42423564,2711029280,0,421851200,False,5,East 57th Street,primary,25 mph,False,153.064,"LINESTRING (-73.9645095 40.7589831, -73.9644084 40.7589403, -73.9630553 40.7583688, -73.9629223 40.7583127)",1.6686531637787656,0.00012938306439761339,,,,,,
42423564,42432861,0,"[421851201, 587038175]",False,6,East 57th Street,primary,25 mph,True,76.82000000000001,"LINESTRING (-73.9645095 40.7589831, -73.964566 40.7590056, -73.9646776 40.7590531, -73.9648774 40.759138, -73.9651546 40.7592531, -73.9653081 40.7593168)",1.7527866605683624,0.0010816800399729594,,,,,,
42423565,42456041,0,"[1106167120, 46211836]",True,"['2', '3']",East 58th Street,residential,25 mph,False,151.16400000000002,"LINESTRING (-73.9640002 40.7596426, -73.9639155 40.7596152, -73.9630951 40.7592704, -73.9625684 40.7590453, -73.9624288 40.7589866)",8.408149775035495,0.0009858037210122563,,,,,,
42423565,3785586748,0,46419222,True,2,Queensboro Bridge Approach,trunk,25 mph,False,46.135999999999996,"LINESTRING (-73.9640002 40.7596426, -73.9639377 40.7597297, -73.9638913 40.7598065, -73.9637529 40.7600127)",26.753255514049957,0.0021958675013961145,,,,,,
42423579,1775201764,0,"[990529014, 32947517, 32947558]",True,1,,trunk_link,25 mph,False,252.512,"LINESTRING (-73.960551 40.7595738, -73.9609445 40.7597713, -73.9618027 40.7601473, -73.9627915 40.7605805, -73.9628372 40.7606033, -73.9628621 40.7606193, -73.9628814 40.7606328, -73.9629008 40.7606499, -73.9629145 40.760672, -73.9629212 40.7606892, -73.9629281 40.7607084, -73.9629294 40.7607252, -73.9629285 40.7607497, -73.9629241 40.7607724, -73.962916 40.7607984, -73.9629017 40.760832)",19.8927301363639,0.0024715633542015695,,,,yes,,
42423579,1775176474,0,"[539018144, 198595507]",True,2,Ed Koch Queensboro Bridge Lower Level,trunk,25 mph,False,246.57299999999998,"LINESTRING (-73.960551 40.7595738, -73.9618363 40.7601027, -73.9631118 40.7606483)",14.22878366611293,0.01915057461129236,,NY 25,,yes,,
42423674,4347550074,0,"[195743152, 420899373]",False,,Central Park South,secondary,,True,164.867,"LINESTRING (-73.979076 40.766876, -73.9791913 40.7669248, -73.9796013 40.7670983, -73.980785 40.7675992)",1.649241312991842,0.01444581606560268,,,,,,
42423674,42430394,0,"[1205900284, 420899371, 196116988, 420899372]",False,5,Central Park South,secondary,,True,273.09,"LINESTRING (-73.979076 40.766876, -73.9789596 40.7668268, -73.9776429 40.7662706, -73.9770984 40.7660406, -73.9767876 40.7659093, -73.9767198 40.7658807, -73.9764211 40.7657545, -73.9763749 40.765735, -73.976244 40.7656797)",1.481137560342162,0.02394421420803574,,,,,,
42423674,42440025,0,1022822153,True,2,7th Avenue,secondary,25 mph,False,83.08900000000001,"LINESTRING (-73.979076 40.766876, -73.9791423 40.7667796, -73.9794917 40.7662721, -73.9795321 40.7662134)",4.723589554714033,0.019939981777033183,,,,,15.5,
42423752,42456049,0,46211828,True,2,East 62nd Street,tertiary,,False,135.391,"LINESTRING (-73.9619964 40.7620775, -73.9619087 40.7620397, -73.9607341 40.7615492, -73.9605894 40.7614886)",8.670553783771712,0.007355436028568909,,,,,,
42423752,6744466013,0,46419221,True,3,Queensboro Bridge Exit,trunk,,False,80.137,"LINESTRING (-73.9619964 40.7620775, -73.961959 40.7621346, -73.9616115 40.7626624, -73.9615722 40.7627226)",5.24298262407013,0.014183228992152368,,,,,,
