u,v,key,osmid,oneway,name,highway,reversed,length,geometry,Cost of returning,Edge Betweenness,lanes,maxspeed,bridge,ref,junction,access,tunnel
3957062327,1427002323,0,129320054,True,Praça Sinésio Martins,residential,False,137.213,"LINESTRING (-45.9029301 -23.1976949, -45.902849 -23.1977133, -45.9027605 -23.1977164, -45.9022348 -23.1977103, -45.902051 -23.1977016, -45.9019706 -23.1976856, -45.9019013 -23.197673, -45.9018089 -23.1976346, -45.9017178 -23.1975876, -45.9016713 -23.19754, -45.9016504 -23.1975174)",8.836425583160828,0.0016327903756732005,,,,,,,
3957062335,3191757801,0,129318450,True,,residential,False,5.95,"LINESTRING (-45.903886 -23.1983233, -45.9038772 -23.1982978, -45.9038791 -23.1982711)",10.3232280334125,0.005646493499439236,,,,,roundabout,,
3957133561,1911379455,0,392495941,False,Praça Alexandra Diacov,residential,False,62.051,"LINESTRING (-45.8946824 -23.1930725, -45.8942541 -23.192677)",1.2447032550471433,0.0002501250625312656,,,,,,,
3957133561,3957133561,0,325246663,True,,residential,False,75.49799999999999,"LINESTRING (-45.8946824 -23.1930725, -45.8949044 -23.193076, -45.8949088 -23.1932664, -45.8946824 -23.1930725)",0.0,0.0,,,,,,,
3957146735,3957146736,0,329323841,True,Avenida Paulo Becker,residential,False,76.292,"LINESTRING (-45.8906955 -23.1961032, -45.8899969 -23.1963449)",4.715810900166254,0.004811199695419388,,50,,,,,
3957146735,1426924037,0,392497105,True,Praça Professora Elza Ferreira Rahal,residential,False,113.326,"LINESTRING (-45.8906955 -23.1961032, -45.8906907 -23.195717, -45.8906829 -23.1950841)",4.87722370956352,0.00014242798156646497,,,,,,,
3957146736,1424408452,0,329323841,True,Avenida Paulo Becker,residential,False,39.302,"LINESTRING (-45.8899969 -23.1963449, -45.8896375 -23.1964706)",6.4166580212999325,0.005234228322567588,,50,,,,,
3957146736,1424458498,0,392497106,True,Rua Helena David Neme,residential,False,340.064,"LINESTRING (-45.8899969 -23.1963449, -45.8900114 -23.197238, -45.889993 -23.199403)",4.75945867486859,0.00023197738473940496,,,,,,,
4034132023,1434877844,0,130192321,False,Praça Paris,residential,False,80.904,"LINESTRING (-45.8781526 -23.1981184, -45.8775918 -23.1976049)",1.66518021506296,0.0011793487436738133,,,,,,,
4034132023,1434877835,0,130192321,False,Praça Paris,residential,True,48.534,"LINESTRING (-45.8781526 -23.1981184, -45.8784804 -23.1984342)",1.6628675963966115,0.00016958692005497367,,,,,,,
4034132023,1434874912,0,655682829,False,Rua Estocolmo,tertiary,False,42.704,"LINESTRING (-45.8781526 -23.1981184, -45.8778672 -23.1983989)",1.7539369219307788,0.005546243224189027,,,,,,,
4034132023,2024367573,0,655682829,False,Rua Estocolmo,tertiary,True,64.773,"LINESTRING (-45.8781526 -23.1981184, -45.8781873 -23.1980866, -45.8785541 -23.1977506, -45.8786015 -23.1977072)",1.8430765585182072,0.000593804532989537,,,,,,,
4153722641,4153722642,0,414201243,True,Praça Rafael de Oliveira Almeida,residential,False,45.493,"LINESTRING (-45.8978024 -23.1967395, -45.8975164 -23.196426)",4.314157848115797,0.00026182718579705164,,,,,,,
4153722641,1424448529,0,670347603,True,Rua Engenheiro Prudente Meireles de Moraes,secondary,False,14.644000000000002,"LINESTRING (-45.8978024 -23.1967395, -45.8978722 -23.1967013, -45.8979231 -23.1966687)",19.38122068023319,0.016727778450145763,2,50,,,,,
4153722642,1424448574,0,129027287,True,Rua Leonardo Pinto da Cunha,residential,False,210.828,"LINESTRING (-45.8975164 -23.196426, -45.8955815 -23.1970832)",4.197922177481221,0.0006563827322718151,,,,,,,
4190236015,1437641687,0,"[130571209, 973344587]",True,Rua Dom Carmine Rocco,tertiary,False,186.351,"LINESTRING (-45.8766322 -23.1933079, -45.8768535 -23.1927428, -45.8772179 -23.191721)",13.811067576082962,0.003078096466296696,,,,,,,
4190236027,4190236015,0,418659891,True,Rua Dom Carmine Rocco,tertiary,False,72.907,"LINESTRING (-45.8770413 -23.1937847, -45.8769259 -23.1936889, -45.8767468 -23.1935787, -45.8766578 -23.1935119, -45.8766304 -23.1934501, -45.8766286 -23.1933944, -45.8766322 -23.1933079)",14.214987909444007,0.00024280341321523906,,,,,,,
4190236027,8234078270,0,973344586,True,Rua Antônio Porfírio da Silva,tertiary,False,73.44200000000001,"LINESTRING (-45.8770413 -23.1937847, -45.8765449 -23.1935482, -45.876401 -23.1934851)",15.419731701190878,0.042517818829354626,,,,,,,
4394313253,4394313254,0,441721781,False,,residential,False,78.447,"LINESTRING (-45.895403 -23.1506242, -45.8955373 -23.1513188)",1.242267383683728,0.0002501250625312656,,,,,,,
4394313253,2418564514,0,326255179,False,Estrada Municipal Pedro Moacir de Almeida,secondary,False,948.322,"LINESTRING (-45.895403 -23.1506242, -45.8952586 -23.1506786, -45.8952144 -23.1507066, -45.8951857 -23.150734, -45.8951608 -23.1507693, -45.8951229 -23.1508524, -45.8950984 -23.150918, -45.8950845 -23.1509601, -45.8950732 -23.151006, -45.8950539 -23.15121, -45.8950463 -23.1512776, -45.8950387 -23.1513359, -45.8950278 -23.151384, -45.8949653 -23.151517, -45.8948948 -23.1516385, -45.8948067 -23.1517343, -45.8946916 -23.1518299, -45.8945917 -23.1518977, -45.8944246 -23.1519775, -45.8942979 -23.1520132, -45.8941586 -23.1520354, -45.8940414 -23.1520367, -45.8939497 -23.1520332, -45.8938547 -23.1520159, -45.8937414 -23.1519834, -45.8931665 -23.1517487, -45.8918701 -23.1511729, -45.8916929 -23.1510753, -45.8916294 -23.1510403, -45.8914729 -23.1509386, -45.8913514 -23.1508608, -45.8912015 -23.150779, -45.8909534 -23.1506752, -45.8906182 -23.1505412, -45.8904521 -23.1504727, -45.8902914 -23.1504054, -45.8901802 -23.1503528, -45.8900902 -23.1503102, -45.8899561 -23.1502319, -45.889821 -23.1501409, -45.8897104 -23.1500579, -45.8895889 -23.1499667, -45.8894633 -23.1498708, -45.8893384 -23.1497791, -45.8892067 -23.1496897, -45.8891739 -23.1496704, -45.8890824 -23.1496167, -45.8889598 -23.1495605, -45.8887281 -23.1494705, -45.8882945 -23.1493599, -45.8878976 -23.1492686, -45.887812 -23.1492489)",1.4768094567027776,0.0024956185873772512,,,,SJC 020,,,
4394313253,1491280439,0,326255179,False,Estrada Municipal Pedro Moacir de Almeida,secondary,True,233.15400000000002,"LINESTRING (-45.895403 -23.1506242, -45.8954779 -23.1505976, -45.8959244 -23.1504756, -45.8963777 -23.1503496, -45.8968271 -23.1502511, -45.8970623 -23.150228, -45.8973034 -23.1502024, -45.8975503 -23.150142, -45.8976098 -23.1501202)",1.4929544704684414,0.0029932404280699266,,,,SJC 020,,,
4394313254,4394313253,0,441721781,False,,residential,True,78.447,"LINESTRING (-45.8955373 -23.1513188, -45.895403 -23.1506242)",1.242267383683729,0.0002501250625312656,,,,,,,
4447889636,3361710201,0,153639762,True,Rua Antônio Aleixo da Silva,residential,False,102.198,"LINESTRING (-45.8868633 -23.217561, -45.8875613 -23.2169028)",11.230611118808628,0.013971271349960693,,,,,,,
4453703041,1446671027,0,772037052,True,Avenida dos Astronautas,secondary,False,497.366,"LINESTRING (-45.8640778 -23.1997108, -45.8643383 -23.1991572, -45.8646694 -23.1984303, -45.8652757 -23.1970864, -45.8653855 -23.1967918, -45.8656856 -23.1955056)",14.748130910704184,0.0957732431389575,2,60,,,,,
4453703042,1453950293,0,132214755,False,Rua Raul Franco Martins,residential,True,85.06,"LINESTRING (-45.8639296 -23.1995818, -45.8639126 -23.198817)",1.611806145536338,0.0012385477201948484,,,,,,,
