u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,tunnel,geometry,Cost of returning,Edge Betweenness,bridge,junction,width,access,est_width,service
644021,1654950578,0,"[8060820, 899563542]",True,,,Avenue du Maréchal de Lattre de Tassigny,primary_link,50,False,202.14399999999998,,"LINESTRING (1.4393052 43.5841026, 1.4393349 43.5840335, 1.4393422 43.5840178, 1.43938 43.5839308, 1.4393585 43.5837936, 1.439241 43.5833017, 1.4392321 43.5832438, 1.4391177 43.5828781, 1.4389731 43.5823206)",8.28181029091552,0.002252883983427895,yes,,,,,
644021,338468175,0,43365405,False,4,,Boulevard des Récollets,secondary,50,False,39.568,,"LINESTRING (1.4393052 43.5841026, 1.4395742 43.5840882, 1.439795 43.5840753)",1.78637610042647,0.032780655317725386,yes,,,,,
644022,1378762207,0,2304963,False,2,,Boulevard des Récollets,secondary,50,False,62.580000000000005,,"LINESTRING (1.444174 43.5839023, 1.4444045 43.5839348, 1.4444369 43.5839392, 1.4449372 43.5840077)",1.583451735094604,0.030910977599569525,,,,,,
644022,2278453392,0,30615194,False,4,,Boulevard des Récollets,secondary,50,False,26.971,,"LINESTRING (1.444174 43.5839023, 1.4440435 43.5838933, 1.443951 43.5838869, 1.4439272 43.583886, 1.4438814 43.5838864, 1.4438402 43.5838871)",1.7800897990944995,0.033921126672773506,,,,,,
644022,1378762597,0,"[123721608, 150479057, 961215761]",False,"['3', '1']",,Rue du Feretra,tertiary,30,True,122.832,,"LINESTRING (1.444174 43.5839023, 1.4441611 43.5837905, 1.444158 43.5837736, 1.4441556 43.5837425, 1.4441612 43.583552, 1.4441644 43.5835004, 1.4441135 43.5829434, 1.4441104 43.5829072, 1.4441016 43.5827998)",1.5783940680452138,0.010192246165668979,,,,,,
644046,1360357012,0,"[231667194, 36729579, 31859947, 31859871]",True,2,,"['Avenue du Maréchal de Lattre de Tassigny', 'Boulevard du Maréchal Juin']",primary,50,False,459.65900000000005,,"LINESTRING (1.439102 43.5823884, 1.4391686 43.5825484, 1.4392405 43.582745, 1.4393272 43.5829933, 1.4394694 43.583506, 1.4395954 43.5841006, 1.4396548 43.5844453, 1.4396697 43.5846331, 1.4396729 43.5848621, 1.4396393 43.5851694, 1.4395893 43.5854213, 1.4395295 43.586027, 1.4395027 43.5862859, 1.4394661 43.5864726)",11.478809287738935,0.004392596125548452,,,,,,
644046,338468175,0,"[30609898, 899563543]",True,,,Avenue du Maréchal de Lattre de Tassigny,primary_link,50,False,198.141,,"LINESTRING (1.439102 43.5823884, 1.4391995 43.582464, 1.4393526 43.5828185, 1.4393816 43.5828888, 1.4394114 43.5829745, 1.439477 43.5832472, 1.4395655 43.5835843, 1.4396261 43.5838416, 1.4396512 43.5838894, 1.4397102 43.5839634, 1.4397246 43.5839839, 1.4397332 43.5839968, 1.4397471 43.5840145, 1.439795 43.5840753)",8.142658196602056,0.00207923054588376,yes,,,,,
644057,1372205400,0,99340612,True,2,,Square Boulingrin,primary,30,False,58.755,,"LINESTRING (1.453076 43.5948257, 1.453255 43.5948646, 1.4533885 43.5949058, 1.4534844 43.5949432, 1.4536053 43.5950103, 1.4537015 43.5950803)",15.034314117372105,0.08519509641945006,,,,,,
644071,361148751,0,123825402,False,2,,Avenue Maurice Hauriou,tertiary,30,False,61.16,,"LINESTRING (1.4429452 43.5932472, 1.4430558 43.5932048, 1.4434334 43.5930566, 1.4435223 43.5930305, 1.4436277 43.5930107)",1.5257653347359739,0.0004868361670181651,,,,,,
644071,1551310328,0,"[452945390, 452945391, 218614836, 256753301, 218614837, 123825403]",False,2,,Rue de la Chaussée,tertiary,30,False,215.05,,"LINESTRING (1.4429452 43.5932472, 1.442913 43.5932127, 1.4428574 43.5931531, 1.4427609 43.5930497, 1.4423243 43.5925819, 1.4422707 43.5925244, 1.4422241 43.5924751, 1.4420721 43.5923111, 1.4415797 43.5918, 1.4415368 43.5917242, 1.4415167 43.5916651, 1.441504 43.5916279)",1.5404758584882314,0.015335647463254411,,,,,,
644071,241771520,0,645070994,False,2,,Avenue Maurice Hauriou,tertiary,30,True,37.3,,"LINESTRING (1.4429452 43.5932472, 1.4427704 43.5933188, 1.4425948 43.5934025, 1.4425512 43.5934232)",1.514798454142304,0.0015332935284050966,,,,,,
646939,2319610770,0,835586843,False,,,Rue Maria Mombiola,residential,30,True,7.866,,"LINESTRING (1.4369121 43.5789943, 1.4368231 43.5790234)",1.5680270277115964,4.7832978678918226e-05,,,,,,
646939,3980380660,0,"[835586841, 59648370, 835586843, 59961133]",False,,,Rue Maria Mombiola,residential,30,"[False, True]",249.66700000000003,,"LINESTRING (1.4369121 43.5789943, 1.4370015 43.5789642, 1.4370384 43.5789533, 1.4370735 43.5789429, 1.4376513 43.5787415, 1.4381053 43.5785831, 1.4386021 43.5784125, 1.4389972 43.5782711, 1.4393442 43.5781558, 1.4396535 43.5780455, 1.4397086 43.5780266)",1.7197526056022183,2.10070607394012e-05,,,,,,
646939,7220901634,0,961215758,True,1,,Avenue du Maréchal de Lattre de Tassigny,primary,50,False,154.48000000000002,,"LINESTRING (1.4369121 43.5789943, 1.4369789 43.5791171, 1.4371055 43.5793965, 1.4372735 43.5796784, 1.4373551 43.5798154, 1.4376348 43.5801987, 1.437687 43.5802616)",6.4124760997273,0.0037520040538695995,,,,,,
646941,2319610765,0,2306257,False,,,Allée Henri Sellier,tertiary,30,False,10.353,,"LINESTRING (1.4364312 43.5773649, 1.4363035 43.5773754)",1.812573562162808,0.0025862601198802936,,,,,,
646941,646939,0,"[961215754, 961215758]",True,"['2', '1']",,Avenue du Maréchal de Lattre de Tassigny,primary,50,False,185.575,,"LINESTRING (1.4364312 43.5773649, 1.4364571 43.5774929, 1.4365001 43.5776902, 1.4365327 43.5778275, 1.4366175 43.5781851, 1.4366576 43.5783363, 1.4367127 43.5785019, 1.43677 43.5786646, 1.436833 43.578819, 1.4368457 43.5788472, 1.4369121 43.5789943)",4.978981997299468,0.0031856270676668,,,,,,
646941,240695521,0,961215755,False,,,Allée Henri Sellier,tertiary,30,True,16.874000000000002,,"LINESTRING (1.4364312 43.5773649, 1.4365036 43.577359, 1.4366395 43.5773489)",1.4196643777759783,0.00012737379786355234,,,,,,
646948,340444398,0,4612445,True,1,,Avenue du Maréchal de Lattre de Tassigny,secondary,50,False,28.582,,"LINESTRING (1.4388151 43.5718188, 1.4386433 43.5720437)",2.890627476011751,0.0017310853608598813,,,,,,
646948,2172117622,0,30787020,True,,M 4,Chemin des Étroits,tertiary,,False,34.917,,"LINESTRING (1.4388151 43.5718188, 1.4389211 43.5718441, 1.4389816 43.5718925, 1.4390154 43.5719459, 1.4390796 43.5720446)",6.051715953627838,0.0005800118507437486,,,,,,
647888,347443531,0,616124365,True,2,,Rond-Point Pierre Bourthoumieux,secondary,30,False,22.218999999999998,,"LINESTRING (1.4283383 43.584984, 1.4284042 43.5850152, 1.4284439 43.5850507, 1.4284577 43.585077, 1.4284674 43.5851124, 1.4284642 43.5851452)",9.225185876557147,0.029378547037274615,,roundabout,,,,
647888,347443458,0,"[2304962, 899424719]",True,2,,Pont de la Croix de Pierre,secondary,30,False,69.03,,"LINESTRING (1.4283383 43.584984, 1.4284143 43.584957, 1.4284904 43.5849381, 1.4285353 43.5849294, 1.4285513 43.5849258, 1.4288569 43.5848647, 1.4289831 43.5848436, 1.429165 43.5848365)",10.462296203084376,0.033294859838523753,yes,,,,,
648229,10307238364,0,31065653,False,1,,Chemin de la Loge,unclassified,30,False,235.758,,"LINESTRING (1.4362578 43.5707124, 1.4364678 43.5707819, 1.4366428 43.5708426, 1.4368064 43.5709116, 1.4369217 43.5709733, 1.4369881 43.5710326, 1.4370498 43.5711336, 1.4370558 43.5711851, 1.4370478 43.5712308, 1.4370169 43.5712959, 1.4369626 43.5713717, 1.4368647 43.5714718, 1.4360319 43.5721641, 1.435947 43.5722319)",1.1744019080619088,0.00027614915525973405,,,,,,
648229,10140281027,0,1127321050,True,,M 4d,Chemin de la Loge,unclassified,,False,10.128,,"LINESTRING (1.4362578 43.5707124, 1.4362538 43.5707245, 1.4362431 43.5707343, 1.4362277 43.5707399, 1.4362031 43.5707388, 1.436184 43.5707274, 1.4361778 43.5707101)",1.1743817487127182,0.000371765800268417,,roundabout,,,,
648255,8138457,0,"[499640599, 223061351]",True,1,,,motorway_link,,False,66.199,,"LINESTRING (1.437974 43.5737907, 1.4379909 43.573717, 1.4379941 43.5736375, 1.4379772 43.5735703, 1.4379224 43.5734616, 1.437837 43.5733752, 1.4377739 43.5732315)",27.88040890680376,0.002356119386380797,,,,,,
648269,1373764262,0,"[149950691, 35953797, 35953798, 149950694, 4612238, 4612283]",False,"['2', '1']",,Chemin de la Loge,residential,30,False,612.4909999999999,,"LINESTRING (1.4343476 43.5774877, 1.4343737 43.5771914, 1.4344159 43.5767121, 1.4344455 43.5765435, 1.4344835 43.5760703, 1.4345015 43.575684, 1.4345501 43.5754345, 1.4345717 43.5751117, 1.43454 43.5748557, 1.4345306 43.5746195, 1.4345521 43.5743636, 1.4345748 43.5741852, 1.4346203 43.5740121, 1.4346653 43.5738513, 1.4346742 43.5738195, 1.4348361 43.5732765, 1.4348849 43.5731719, 1.4349033 43.5731419, 1.4349771 43.5730215, 1.4351428 43.5728408, 1.4352031 43.5727942, 1.4354908 43.5725518, 1.435863 43.5722661)",1.3805956904308838,0.000794175383117503,yes,,,,,
648269,1225206393,0,"[106501761, 1307491603, 1294998157]",False,,,Allée du Professeur Camille Soula,residential,30,True,456.642,,"LINESTRING (1.4343476 43.5774877, 1.4343337 43.5775721, 1.4342627 43.5780039, 1.4342402 43.5781194, 1.4342383 43.578255, 1.4342963 43.578436, 1.4350843 43.5797338, 1.4351733 43.5798805, 1.4355117 43.5804549, 1.4357808 43.5809118, 1.435965 43.581341)",1.6132821873052827,0.0014174341640688921,,,,,,
648318,2186042137,0,30594887,True,,,Allée Jacques Lacassagne,secondary_link,30,False,70.776,,"LINESTRING (1.4378433 43.585682, 1.4375741 43.5850761)",7.202446089299187,0.0017236885084868526,yes,,,,,
648394,586198290,0,28585837,True,,,Rond-Point Michel Benech,residential,30,False,15.737000000000002,,"LINESTRING (1.4366868 43.5877582, 1.4367427 43.5877823, 1.4367846 43.5878185, 1.4368077 43.5878626)",4.24096530891752,0.0006821377258406967,,roundabout,,,,
648394,338171795,0,30594901,True,1,,Allée du Professeur Camille Soula,residential,30,False,144.04,,"LINESTRING (1.4366868 43.5877582, 1.4368359 43.5877198, 1.4369042 43.587689, 1.4376247 43.5868759, 1.4376322 43.5868065, 1.437599 43.5867232)",9.95866789930858,0.0010434986204377202,,,,,,
648442,11176878997,0,616124759,True,,,Rond-Point de Catalogne,primary,30,False,17.114,,"LINESTRING (1.4347698 43.5928755, 1.4347266 43.5928979, 1.4346782 43.5929137, 1.4346264 43.5929224, 1.4345733 43.5929234)",10.546843225554827,0.05841015704207961,,roundabout,,,,
648442,243755303,0,849942720,True,,,Rue Charles Laganne,residential,20,False,152.099,,"LINESTRING (1.4347698 43.5928755, 1.4347505 43.5929356, 1.4347438 43.5929808, 1.4347451 43.5930133, 1.4347538 43.5930449, 1.4347719 43.5930992, 1.4348035 43.5931872, 1.4352199 43.5941921)",30.705968229131052,0.0008269187829554429,,,,,,
648451,54541206,0,"[636520434, 224996363, 195830687]",True,2,,Allées Charles de Fitte,primary,50,False,123.51300000000002,,"LINESTRING (1.4328439 43.5951474, 1.4325772 43.5954989, 1.4325186 43.5955761, 1.4324632 43.5956463, 1.4323456 43.5958029, 1.4323088 43.5958543, 1.4322473 43.5959721, 1.4322458 43.5959742, 1.4322307 43.5959954, 1.432216 43.596016, 1.432134 43.5961308)",4.748878219991238,0.028553329530364966,,,,,,
648547,2112493859,0,1247575726,False,,,Rond-Point Jane Atché,primary,50,True,8.760000000000002,,"LINESTRING (1.430659 43.5977489, 1.4306403 43.5977714, 1.4306279 43.5977961, 1.4306221 43.597822)",1.2055633055398092,0.008810686735609276,,circular,,,,
648547,57199377,0,1247575733,False,,,Rond-Point Jane Atché,primary,50,False,13.919,,"LINESTRING (1.430659 43.5977489, 1.4306885 43.597726, 1.4307244 43.5977086, 1.4307648 43.5976975, 1.4308076 43.5976933)",1.6371571164382794,0.013944200907189425,,circular,,,,
701753,241777944,0,4612474,False,1,,Allées Forain François Verdier,primary,30,False,44.119,,"LINESTRING (1.4527629 43.5966644, 1.4527507 43.5967225, 1.4527217 43.5967642, 1.4527094 43.5967927, 1.4527062 43.5968072, 1.4526731 43.5970528)",1.51286162502139,0.01623821138981136,,,,,,
701753,3845288375,0,99654613,True,2,,Square Boulingrin,primary,30,False,63.456,,"LINESTRING (1.4527629 43.5966644, 1.4527149 43.5966764, 1.452674 43.5966798, 1.4525312 43.5966918, 1.4524303 43.596694, 1.4521814 43.5966842, 1.4519821 43.59666)",15.01592066526095,0.040863072624860844,,,,,,
701760,9926534,0,27800118,False,3,,Rue des Frères Lion,primary,30,True,83.567,,"LINESTRING (1.4522048 43.6003514, 1.4524263 43.6002961, 1.452451 43.6002901, 1.4524975 43.6002783, 1.4531896 43.6001144)",1.526340884757921,0.026259540953314224,,,,,,
701760,333119460,0,51206331,False,3,,Allées Forain François Verdier,primary,30,True,52.498000000000005,,"LINESTRING (1.4522048 43.6003514, 1.4522552 43.6002217, 1.4522633 43.6002027, 1.452276 43.6001681, 1.4523199 43.5998882)",1.3740528015660598,0.033754253683237985,,,,,,
701760,3870855530,0,1171602878,False,2,,Boulevard Lazare Carnot,primary,30,False,17.288,,"LINESTRING (1.4522048 43.6003514, 1.4521598 43.6004495, 1.4521444 43.6005004)",1.5469650669709687,0.016034378794585268,,,,,,
701786,240309122,0,31898268,False,2,,Avenue Crampel,secondary,50,False,17.642,,"LINESTRING (1.4596716 43.5873454, 1.4594845 43.5872629)",1.576237799394973,0.041377548363579555,,,,,,
701786,270157885,0,31898266,True,2,,Avenue Crampel,secondary,50,False,48.967999999999996,,"LINESTRING (1.4596716 43.5873454, 1.4598801 43.5874072, 1.4599956 43.587463, 1.4600276 43.5874816, 1.4600628 43.5874985, 1.4600925 43.5875144, 1.4601919 43.5875677)",10.255274011760122,0.03694964459603718,,,,,,
