osmid,y,x,street_count,highway,geometry
8822151465,-22.9204564,-43.2440248,1,,POINT (-43.2440248 -22.9204564)
8822273358,-22.913751,-43.2452126,1,,POINT (-43.2452126 -22.913751)
8822603954,-22.8985466,-43.2131283,3,,POINT (-43.2131283 -22.8985466)
8822603955,-22.8994442,-43.2147597,4,,POINT (-43.2147597 -22.8994442)
8825125254,-22.9043377,-43.2181633,1,,POINT (-43.2181633 -22.9043377)
8825635225,-22.8936541,-43.2187884,3,,POINT (-43.2187884 -22.8936541)
8832628963,-22.9337744,-43.1863559,3,,POINT (-43.1863559 -22.9337744)
8832628964,-22.9337215,-43.1864646,3,,POINT (-43.1864646 -22.9337215)
8832739293,-22.9048987,-43.2205806,3,,POINT (-43.2205806 -22.9048987)
8832742478,-22.9072071,-43.2182923,3,,POINT (-43.2182923 -22.9072071)
8832742486,-22.9074679,-43.2182541,3,,POINT (-43.2182541 -22.9074679)
8833035774,-22.8989262,-43.2441586,3,,POINT (-43.2441586 -22.8989262)
8833035779,-22.8989805,-43.2439402,3,,POINT (-43.2439402 -22.8989805)
8833177048,-22.9010652,-43.2409763,3,,POINT (-43.2409763 -22.9010652)
8833177049,-22.9010393,-43.2411025,3,,POINT (-43.2411025 -22.9010393)
8833318251,-22.9357749,-43.1937126,3,,POINT (-43.1937126 -22.9357749)
8833382136,-22.8896986,-43.2441415,3,,POINT (-43.2441415 -22.8896986)
8833382141,-22.8895409,-43.2440471,3,,POINT (-43.2440471 -22.8895409)
8833382143,-22.8896748,-43.2444091,3,,POINT (-43.2444091 -22.8896748)
8833445337,-22.9001132,-43.1987123,1,,POINT (-43.1987123 -22.9001132)
8833491774,-22.9112375,-43.2167611,3,,POINT (-43.2167611 -22.9112375)
8833509779,-22.9117405,-43.2151453,3,,POINT (-43.2151453 -22.9117405)
8833636952,-22.8886726,-43.2454963,1,,POINT (-43.2454963 -22.8886726)
8836085873,-22.9031529,-43.2096438,3,,POINT (-43.2096438 -22.9031529)
8836655915,-22.9018577,-43.1848787,3,traffic_signals,POINT (-43.1848787 -22.9018577)
8837151885,-22.9070821,-43.190286,3,,POINT (-43.190286 -22.9070821)
8839295952,-22.9046893,-43.1762872,3,,POINT (-43.1762872 -22.9046893)
8839295953,-22.904648,-43.1761836,3,,POINT (-43.1761836 -22.904648)
8839856327,-22.8963403,-43.2379684,1,,POINT (-43.2379684 -22.8963403)
8839856328,-22.8960216,-43.236983,3,,POINT (-43.236983 -22.8960216)
8840290178,-22.9243914,-43.206752,1,,POINT (-43.206752 -22.9243914)
8840332725,-22.9323081,-43.2014362,1,,POINT (-43.2014362 -22.9323081)
8840332726,-22.9322425,-43.2013302,3,,POINT (-43.2013302 -22.9322425)
8840332729,-22.9292878,-43.2027834,3,,POINT (-43.2027834 -22.9292878)
8840332730,-22.9292332,-43.2027329,3,,POINT (-43.2027329 -22.9292332)
8840357078,-22.9251208,-43.2113312,3,,POINT (-43.2113312 -22.9251208)
8840359309,-22.923025,-43.2098361,3,,POINT (-43.2098361 -22.923025)
8840359310,-22.9230318,-43.2100352,1,,POINT (-43.2100352 -22.9230318)
8840379132,-22.922933,-43.2096029,3,,POINT (-43.2096029 -22.922933)
8840379133,-22.9229409,-43.2098406,3,,POINT (-43.2098406 -22.9229409)
8840379402,-22.9235663,-43.2078558,1,,POINT (-43.2078558 -22.9235663)
8840379403,-22.9248458,-43.2080753,1,,POINT (-43.2080753 -22.9248458)
8842302700,-22.9102872,-43.2013908,3,,POINT (-43.2013908 -22.9102872)
8842852874,-22.9159978,-43.1946735,1,,POINT (-43.1946735 -22.9159978)
8843042434,-22.9130842,-43.2097555,3,,POINT (-43.2097555 -22.9130842)
8846315421,-22.9125884,-43.1847752,3,,POINT (-43.1847752 -22.9125884)
8846315427,-22.9127417,-43.1847906,3,crossing,POINT (-43.1847906 -22.9127417)
8858058942,-22.9140246,-43.2270541,3,,POINT (-43.2270541 -22.9140246)
8858058943,-22.9139821,-43.2271259,3,,POINT (-43.2271259 -22.9139821)
8860947743,-22.896937,-43.1908649,3,,POINT (-43.1908649 -22.896937)
8866453673,-22.9291697,-43.2091415,3,,POINT (-43.2091415 -22.9291697)
8866453674,-22.9292032,-43.2092994,3,,POINT (-43.2092994 -22.9292032)
8866485989,-22.9217298,-43.209677,3,,POINT (-43.209677 -22.9217298)
8917740223,-22.9188675,-43.1830732,3,,POINT (-43.1830732 -22.9188675)
8917740225,-22.9188934,-43.1831046,3,,POINT (-43.1831046 -22.9188934)
8920134707,-22.8930166,-43.1959517,1,,POINT (-43.1959517 -22.8930166)
8942227166,-22.8985945,-43.2000947,3,,POINT (-43.2000947 -22.8985945)
8955973917,-22.89435,-43.2470356,1,,POINT (-43.2470356 -22.89435)
8955973918,-22.8937167,-43.247589,3,,POINT (-43.247589 -22.8937167)
8955973919,-22.8934407,-43.2479824,1,,POINT (-43.2479824 -22.8934407)
8955973920,-22.8931224,-43.2482673,3,,POINT (-43.2482673 -22.8931224)
8958956503,-22.8834802,-43.2295354,3,,POINT (-43.2295354 -22.8834802)
8958956504,-22.8839461,-43.2312182,3,,POINT (-43.2312182 -22.8839461)
8958956508,-22.884377,-43.2308659,1,,POINT (-43.2308659 -22.884377)
