u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,Cost of returning,Edge Betweenness,width,access,ref,bridge,tunnel,junction,est_width
21473238,1275004788,0,1051498485,True,2,Calzada lateral M-30,motorway,90,False,148.869,"LINESTRING (-3.6601439 40.4358537, -3.6601885 40.4354578, -3.66038 40.4345277)",46.9257843451579,0.0026371538918144484,,,M-30,,,,
21473251,21473253,0,"[241919507, 318996260, 318996263]",True,4,Calzada lateral M-30,motorway,90,False,181.51999999999998,"LINESTRING (-3.6605356 40.4272005, -3.6604897 40.4269575, -3.6604707 40.4268679, -3.6602531 40.4259196, -3.660163 40.4255932)",24.52705923693521,0.006216264823695623,,,M-30,,yes,,
21473253,25938853,0,"[112081145, 319256943]",True,1,,motorway_link,90,False,302.673,"LINESTRING (-3.660163 40.4255932, -3.6601049 40.425485, -3.6600488 40.4253431, -3.6599895 40.4251668, -3.6597843 40.4243626, -3.6596141 40.4236168, -3.6595099 40.4231776, -3.6594893 40.4230761, -3.6594076 40.4229399)",57.28882989714387,0.0006695220771100458,,,,,,,
21473253,2537144683,0,"[241919500, 319256942]",True,3,Calzada lateral M-30,motorway_link,90,False,309.068,"LINESTRING (-3.660163 40.4255932, -3.6600989 40.4252806, -3.6600683 40.4251576, -3.6598064 40.4240987, -3.6596541 40.423234, -3.6596 40.4228482)",24.503313210198314,0.0055467427465855776,,,M-30,,,,
21473261,21525909,0,241777009,True,2,Calzada lateral M-30,motorway,90,False,176.86300000000003,"LINESTRING (-3.6592237 40.4177729, -3.6592813 40.417601, -3.6593548 40.4173859, -3.6594965 40.4170499, -3.6596388 40.4167307, -3.6598024 40.4164557, -3.6599355 40.4162844)",57.13702968602423,0.004904721460430344,,,M-30,,,,
21473269,1224507591,0,"[241777035, 15241725]",True,3,Calzada lateral M-30,motorway,50,False,249.017,"LINESTRING (-3.6622871 40.4125399, -3.6625929 40.4121277, -3.6628382 40.4117452, -3.6629399 40.4115733, -3.6634047 40.4108216, -3.663586 40.4105318)",23.501853439087057,0.007944741899194021,,,M-30,,,,
21473273,148889573,0,255327663,False,2,Calle de López de Hoyos,tertiary,,True,34.315,"LINESTRING (-3.6741536 40.4441661, -3.6744354 40.4439442)",1.5470401246495662,0.009115083505046273,,,,,,,
21473273,143754566,0,14585829,True,1,Calle de Vinaroz,residential,50,False,122.51800000000001,"LINESTRING (-3.6741536 40.4441661, -3.6742633 40.4442436, -3.6746856 40.4445324, -3.6751629 40.4448588, -3.6751997 40.4449202)",6.526092675619752,0.00039536750663244865,,,,,,,
21473273,143758378,0,255327663,False,2,Calle de López de Hoyos,tertiary,,False,36.879,"LINESTRING (-3.6741536 40.4441661, -3.6741223 40.4441881, -3.6739461 40.4443107, -3.6738321 40.44439)",1.4733122299471766,0.00775191312801392,,,,,,,
21473274,149135429,0,255327663,False,2,Calle de López de Hoyos,tertiary,,True,16.017,"LINESTRING (-3.6705691 40.4464688, -3.6707034 40.4463673)",1.5467584755668171,0.006080674417140324,,,,,,,
21473274,143762506,0,255327663,False,2,Calle de López de Hoyos,tertiary,,False,82.00200000000001,"LINESTRING (-3.6705691 40.4464688, -3.6704867 40.4465274, -3.6702609 40.4466882, -3.6698613 40.4469725)",1.508251992698185,0.005135187656372769,,,,,,,
21473275,119815320,0,71270056,True,,Avenida de Alfonso XIII,tertiary,30,False,181.58299999999997,"LINESTRING (-3.6663555 40.4492125, -3.6664444 40.4493311, -3.6670826 40.4503344, -3.6672228 40.4505466, -3.6672744 40.4506042, -3.6673546 40.4506471)",3.0990573885604826,0.0006312381833548975,,,,,,,
21473275,143773355,0,71517816,True,2,Calle de López de Hoyos,tertiary,,False,60.441,"LINESTRING (-3.6663555 40.4492125, -3.6663122 40.44925, -3.6662904 40.4492673, -3.6661593 40.4493799, -3.6658771 40.4496161)",8.407122382560512,0.002422526186196258,,,,,,,
21473276,2217224517,0,14587170,False,,Calle del Padre Claret,residential,,False,63.589,"LINESTRING (-3.6649151 40.4504171, -3.6641935 40.4505768)",1.4737959914916534,0.0001137009664582149,,,,,,,
21473276,143774443,0,44168191,True,5,Calle del Padre Claret,residential,,False,81.769,"LINESTRING (-3.6649151 40.4504171, -3.6652739 40.4510999)",4.302348935868183,0.001296661647050427,,,,,,,
21473276,143774049,0,267650993,False,,Calle del Padre Claret,residential,,True,211.078,"LINESTRING (-3.6649151 40.4504171, -3.6642826 40.4495463, -3.6641763 40.4489827, -3.6641203 40.4486515)",1.7613292107175007,0.0006132534159744815,,,,,,,
21473278,143768021,0,"[255327677, 255327663]",False,2,Calle de López de Hoyos,tertiary,,"[False, True]",156.147,"LINESTRING (-3.6685325 40.447977, -3.667986 40.4482881, -3.6678965 40.448339, -3.667723 40.4484338, -3.6674501 40.4485841, -3.6671596 40.4487441, -3.6670444 40.4488073)",1.4287374139078495,0.004112758156079078,,,,,,,
21473278,149149392,0,255327663,False,2,Calle de López de Hoyos,tertiary,,True,135.992,"LINESTRING (-3.6685325 40.447977, -3.6694094 40.4472983, -3.6695844 40.447165, -3.6696608 40.4471061)",1.5280085157698353,0.002249259566739067,,,,,,,
21525900,21525909,0,114491676,True,2,,motorway_link,50,False,308.364,"LINESTRING (-3.6606418 40.4188238, -3.6606902 40.4187004, -3.6607144 40.4185099, -3.6607053 40.4183235, -3.6606739 40.4181456, -3.660596 40.4179638, -3.660498 40.4178138, -3.6603527 40.4176472, -3.6601203 40.4174721, -3.6599222 40.4172707, -3.6597933 40.4170628, -3.659765 40.4168336, -3.6597747 40.4166889, -3.6598268 40.4165448, -3.6599355 40.4162844)",48.29552806770469,0.0014782547871352153,,,,,,,
21525909,25943479,0,"[241777017, 241777034, 241777036]",True,"['5', '6', '4']",Calzada lateral M-30,motorway,90,False,393.297,"LINESTRING (-3.6599355 40.4162844, -3.6602894 40.4157089, -3.6609123 40.4147203, -3.6612003 40.4142627, -3.6615582 40.4136873, -3.6619568 40.4131001)",47.19619821619237,0.007013955843323327,,,M-30,,,,
21525925,1196184849,0,114491669,True,4,Prolongación de O'Donnell,motorway,70,False,105.04400000000001,"LINESTRING (-3.6591917 40.4186743, -3.6583824 40.4184568, -3.6580193 40.418365)",24.64015403848034,0.0004134039915322906,,,M-23,yes,,,
21527321,2383701846,0,4812341,False,,Avenida de Menéndez Pelayo,secondary,,False,9.995,"LINESTRING (-3.6799577 40.4215943, -3.6799879 40.4216812)",2.0592779427493504,0.01601453676036028,,,,,,,
21527321,26784070,0,4078616,True,2,Calle de O'Donnell,primary,50,False,88.542,"LINESTRING (-3.6799577 40.4215943, -3.6796797 40.4216515, -3.6794203 40.4216801, -3.6789259 40.4216511)",5.61928639489285,0.004714711294058963,,,,,,,
21527321,1957490897,0,185181407,True,3,Avenida de Menéndez Pelayo,secondary,50,False,104.018,"LINESTRING (-3.6799577 40.4215943, -3.6799409 40.4213455, -3.679928 40.42131, -3.6796997 40.4206842)",2.9192500740128984,0.015437718336821466,,,,,,,
21627141,2682646653,0,1177195668,True,,,secondary,,False,8.14,"LINESTRING (-3.6764079 40.4114588, -3.6764111 40.4114292, -3.6764013 40.4114004, -3.6763912 40.411389)",8.763284921319325,0.019812218858715883,,,,,,circular,
21627142,150987837,0,44493805,False,6,Avenida de Menéndez Pelayo,secondary,50,False,126.17099999999999,"LINESTRING (-3.6775202 40.4094044, -3.6775678 40.4093355, -3.678214 40.4084002)",1.5277639279786264,0.010745542951852411,,,,,,,
21627142,150987813,0,44493805,False,6,Avenida de Menéndez Pelayo,secondary,50,True,130.649,"LINESTRING (-3.6775202 40.4094044, -3.6769657 40.4102071, -3.6768019 40.4104443)",1.4319187418593613,0.022932944486543944,,,,,,,
21627143,151023259,0,15245060,True,3,Avenida de Menéndez Pelayo,secondary,50,False,52.311,"LINESTRING (-3.6764507 40.410962, -3.6763453 40.4110677, -3.676258 40.411186, -3.6762369 40.4112172, -3.6762016 40.4112749, -3.6762072 40.4113781)",10.376956610838878,0.02284534793801604,,,,,,,
21627143,150987813,0,44493805,False,6,Avenida de Menéndez Pelayo,secondary,50,False,64.794,"LINESTRING (-3.6764507 40.410962, -3.6765413 40.4108234, -3.6766137 40.4107167, -3.6768019 40.4104443)",1.6363701359079732,0.014995507686968853,,,,,,,
21627149,1727199807,0,"[685989645, 685989647]",True,2,Calle de Alfonso XII,tertiary,,False,14.555,"LINESTRING (-3.6885945 40.4096055, -3.6885798 40.40963, -3.6885742 40.4096637, -3.6885843 40.4096982, -3.6886092 40.4097272)",4.201668104509688,0.0005084349334776942,,,,,,circular,
21627165,28096713,0,4526344,True,,Calle de Hermosilla,residential,,False,104.73599999999999,"LINESTRING (-3.6876472 40.4264961, -3.6875552 40.4264921, -3.6875058 40.4264902, -3.6865347 40.4264609, -3.6864123 40.4264464)",5.310840423073306,0.0007767842123997149,,,,,,,
21627165,25552447,0,43405582,True,4,Calle de Serrano,secondary,50,False,124.315,"LINESTRING (-3.6876472 40.4264961, -3.687736 40.4260413, -3.6878258 40.4255807, -3.6878644 40.4253904)",8.325261993793513,0.0016472029937203295,,,,,,,
21627171,21627172,0,553462479,True,4,Calle del Doctor Esquerdo,primary,50,False,17.092,"LINESTRING (-3.66934 40.4180066, -3.6693478 40.417853)",10.293235418455073,0.026515248975249678,,,,,,,
21627171,311976599,0,553462475,True,2,Calle de Ibiza,residential,50,False,179.217,"LINESTRING (-3.66934 40.4180066, -3.6695302 40.4180158, -3.6700317 40.4180455, -3.6704251 40.4180678, -3.6709668 40.4180968, -3.6713224 40.4181119, -3.671452 40.4181159)",10.057911297247966,0.0006586484686507145,,,,,,,
21627172,26783927,0,246292533,True,4,Calle del Doctor Esquerdo,primary,50,False,138.46699999999998,"LINESTRING (-3.6693478 40.417853, -3.6694058 40.4171814, -3.6694397 40.4167682, -3.6694579 40.4166106)",5.05722807923386,0.02662372647224586,,,,,,,
21627175,21627181,0,44536099,True,,Calle de Ibiza,residential,,False,133.887,"LINESTRING (-3.6762399 40.4183296, -3.6764173 40.4183368, -3.67651 40.4183428, -3.6769889 40.4183756, -3.677693 40.4184175, -3.6778162 40.4184265)",5.218874568429026,0.002586600016575465,,,,,,,
21627175,21627186,0,44536100,False,2,Calle de Narváez,tertiary,50,False,122.225,"LINESTRING (-3.6762399 40.4183296, -3.6762289 40.4184565, -3.676221 40.4185693, -3.6762189 40.418599, -3.6761656 40.4193465, -3.6761599 40.4194271)",1.7738231710175523,0.002549647848945538,,,,,,,
21627175,21627176,0,553462481,False,,Calle de Narváez,tertiary,50,True,16.07,"LINESTRING (-3.6762399 40.4183296, -3.6762436 40.418288, -3.6762478 40.4182399, -3.6762526 40.4181854)",1.7692693666816497,0.00015362689145514093,,,,,,,
21627176,26783933,0,4078602,True,,Calle de Ibiza,residential,,False,136.889,"LINESTRING (-3.6762526 40.4181854, -3.6760741 40.41818, -3.6747782 40.4181235, -3.6746381 40.4181174)",5.310295712029615,6.133697803931902e-05,,,,,,,
21627176,26784044,0,44335835,False,2,Calle de Narváez,tertiary,30,True,128.412,"LINESTRING (-3.6762526 40.4181854, -3.6762628 40.4180671, -3.6763313 40.4171413, -3.6763401 40.4170325)",1.7713180196432892,0.00015726004719482237,,,,,,,
21627176,21627175,0,553462481,False,,Calle de Narváez,tertiary,50,False,16.07,"LINESTRING (-3.6762526 40.4181854, -3.6762478 40.4182399, -3.6762436 40.418288, -3.6762399 40.4183296)",1.7692693666816495,0.0027864882291572255,,,,,,,
