u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,Inverse SP,Cost of return,Edge Betweenness,geometry,ref,bridge,junction,width,tunnel,access,Groups
83538229,83557572,0,"[1025579528, 1025552149]",secondary,5,"['30 mph', '35 mph']",300 West,False,True,87.35611019179557,87.35611019179558,1.4774010863431593,0.022906810261972627,"LINESTRING (-111.8996911 40.7347782, -111.899692 40.734575, -111.899692 40.7343486, -111.8996949 40.73411, -111.8996949 40.7339926)",,,,,,,B
83538230,83538229,0,10127018,unclassified,,20 mph,1600 South,False,True,185.02203076117885,185.02203076117888,1.2410780068901532,0.00029638411381149973,"LINESTRING (-111.901887 40.7347852, -111.899856 40.73478, -111.8998259 40.7347799, -111.8996911 40.7347782)",,,,,,,unclassified
83538457,83617461,0,679456759,unclassified,2,20 mph,500 North,False,True,120.78401367865308,120.78401367865308,1.8317493985983564,0.002019594566215093,"LINESTRING (-111.9225682 40.7802068, -111.9211337 40.7802047)",,,,,,,unclassified
83538457,83543300,0,10143442,residential,2,20 mph,1100 West,False,True,119.76967549412542,119.76967549412542,1.6866919713517379,0.000824568195673618,"LINESTRING (-111.9225682 40.7802068, -111.9225673 40.7800611, -111.9225612 40.7791297)",,,,,,,C
83538457,12563978926,0,679456759,unclassified,2,20 mph,500 North,False,False,204.2003445366819,204.20034453668188,1.5897173679155778,0.001829093303617011,"LINESTRING (-111.9225682 40.7802068, -111.9227838 40.7802071, -111.9231194 40.7802076, -111.9233372 40.7802079, -111.9242245 40.7802092, -111.924297 40.7802093, -111.9249934 40.7802104)",,,,,,,unclassified
83538457,83538459,0,1109957512,residential,2,20 mph,1100 West,False,False,120.30708256238587,120.30708256238587,1.6864420614866822,0.00025517327794503264,"LINESTRING (-111.9225682 40.7802068, -111.9225657 40.7803694, -111.9225551 40.7812887)",,,,,,,C
83538459,83556700,0,10129425,residential,2,20 mph,Girard Avenue,False,False,242.1207849575533,242.1207849575533,1.451972946279453,0.0015468561931626568,"LINESTRING (-111.9225551 40.7812887, -111.9227739 40.781289, -111.9231302 40.7812895, -111.9242942 40.7812911, -111.9252126 40.7812923, -111.9254307 40.7812941)",,,,,,,C
83538459,83538461,0,1109957512,residential,2,20 mph,1100 West,False,False,122.0822697519906,122.0822697519906,1.5945948881267276,0.00016062560333454534,"LINESTRING (-111.9225551 40.7812887, -111.9225522 40.7817959, -111.9225523 40.7822275, -111.9225373 40.7823862)",,,,,,,C
83538459,83538457,0,1109957512,residential,2,20 mph,1100 West,False,True,120.30708256238587,120.30708256238587,1.6864420614866822,0.0008052368867383882,"LINESTRING (-111.9225551 40.7812887, -111.9225657 40.7803694, -111.9225682 40.7802068)",,,,,,,C
83538461,83538463,0,10127051,residential,2,20 mph,Rambler Drive,False,False,119.80679062061462,119.80679062061462,1.920503281528292,0.0041234560654705744,"LINESTRING (-111.9225373 40.7823862, -111.922526 40.7825377, -111.9224969 40.7833976, -111.9224946 40.7834631)",,,,,,,C
