u,v,key,osmid,name,highway,oneway,reversed,length,Cost of returning,Edge Betweenness,geometry,lanes,maxspeed,bridge,ref,access,tunnel,junction
122380164,122380161,0,13254993,South Walnut Street,residential,False,True,143.89600000000002,1.7711385886044477,0.00014301475688580827,"LINESTRING (-97.351156 37.679241, -97.3511576 37.6793503, -97.3511681 37.6800619, -97.3511686 37.6800979, -97.3511736 37.6804388, -97.351175 37.680535)",,,,,,,
122380164,122543576,0,13277906,Mentor Street,residential,False,False,155.194,1.6889790414500652,0.00010444653143818806,"LINESTRING (-97.351156 37.679241, -97.3513095 37.6792399, -97.3518653 37.6792358, -97.3522518 37.6792329, -97.3525828 37.6792304, -97.3529194 37.6792279)",,,,,,,
122380164,122515425,0,13277906,Mentor Street,residential,False,True,161.136,1.5141369611546645,0.0002096920279986432,"LINESTRING (-97.351156 37.679241, -97.3510513 37.6792409, -97.3500488 37.6792404, -97.3494576 37.6792401, -97.349325 37.67924)",,,,,,,
122380168,122380164,0,13254993,South Walnut Street,residential,False,True,147.00699999999998,1.2949643781189961,4.561364516215724e-05,"LINESTRING (-97.351139 37.677919, -97.3511549 37.6791535, -97.351156 37.679241)",,,,,,,
122380168,122515425,0,"[13257129, 13273812]","['West University Street', 'South Osage Street']",residential,False,"[False, True]",297.435,1.4307776152421496,0.0031769758589056648,"LINESTRING (-97.351139 37.677919, -97.350562 37.67792, -97.3501197 37.6779239, -97.349534 37.677929, -97.349387 37.677972, -97.349318 37.678085, -97.349325 37.67924)",,,,,,,
122380168,122136762,0,13257129,West University Street,residential,False,True,155.43,1.996574198267276,0.0024951680768401075,"LINESTRING (-97.351139 37.677919, -97.351791 37.677919, -97.3522387 37.6779166, -97.3529051 37.6779131)",,,,,,,
122380179,122332200,0,13254996,South Walnut Street,residential,False,False,74.946,1.5743534559740981,0.00026946914578280785,"LINESTRING (-97.351114 37.676048, -97.3511132 37.6759093, -97.35111 37.675374)",,,,,,,
122380182,122380184,0,13254996,South Walnut Street,residential,False,False,113.867,1.725640079763248,0.00013676830229353832,"LINESTRING (-97.351082 37.673293, -97.351072 37.672269)",,,,,,,
122380182,122362435,0,13254996,South Walnut Street,residential,False,True,115.875,1.6994142310227374,0.008030761609871142,"LINESTRING (-97.351082 37.673293, -97.3510905 37.6738126, -97.351099 37.674335)",,,,,,,
122380182,122543582,0,13277938,West McCormick Street,tertiary,False,False,159.483,1.7533672587844211,0.006521225961136884,"LINESTRING (-97.351082 37.673293, -97.351733 37.673294, -97.3524555 37.6732884, -97.352894 37.673285)",,,,,,,
122380182,122515058,0,13277938,West McCormick Street,tertiary,False,True,161.80200000000002,1.6202821248093466,0.0146962370921737,"LINESTRING (-97.351082 37.673293, -97.349724 37.673301, -97.349498 37.673294, -97.34933 37.673234, -97.349269 37.673207)",,,,,,,
122380184,122380182,0,13254996,South Walnut Street,residential,False,True,113.867,1.7256400797632465,0.00013749463422287205,"LINESTRING (-97.351072 37.672269, -97.351082 37.673293)",,,,,,,
122380184,122447536,0,13264499,Irving Street,residential,False,True,66.891,1.5506389709329256,0.0006701138380032845,"LINESTRING (-97.351072 37.672269, -97.350312 37.672273)",,,,,,,
122380184,122447543,0,13264499,Irving Street,residential,False,False,159.041,1.50405497869916,0.0006905963984104952,"LINESTRING (-97.351072 37.672269, -97.351537 37.672267, -97.352565 37.672264, -97.352879 37.672263)",,,,,,,
122381517,122427305,0,13272920,East Blake Street,residential,False,True,101.57,1.3171732430558112,0.0007862543135037453,"LINESTRING (-97.2884507 37.6518833, -97.2896044 37.6518779)",,,,,,,
