u,v,key,osmid,highway,name,oneway,reversed,length,geometry,Inverse SP,Cost of return,Edge Betweenness,bridge,lanes,ref,access,maxspeed,tunnel,junction,width,Groups
31194142,533627836,0,1011023638,secondary,东华门大街,False,True,55.42226713063022,"LINESTRING (116.3967322 39.9137696, 116.397381 39.9137976)",55.42226713063022,1.6210670341827855,0.00410220467881519,,,,,,,,,B
31194142,733788439,0,127843743,tertiary,南池子大街,False,True,266.6132827909822,"LINESTRING (116.3967322 39.9137696, 116.3967626 39.91317, 116.3967921 39.9121374, 116.3968246 39.911373)",266.6132827909822,1.6647903241995532,0.002667128184400701,,2,,,,,,,B
31194142,31194141,0,"[588327418, 1031650606, 1031650607]",unclassified,东华门大街,False,False,107.20066435865375,"LINESTRING (116.3967322 39.9137696, 116.3966121 39.9137656, 116.3961981 39.9137519, 116.3955763 39.9137376, 116.3954762 39.9137334)",107.20066435865374,1.4456878480541342,0.0002676659528907923,yes,2,,,,,,,unclassified
31194143,266111655,0,30802567,secondary,东安门大街,False,True,44.753958757180044,"LINESTRING (116.4003856 39.913891, 116.4009101 39.9139032)",44.753958757180044,1.8441678858775135,0.0035192160504974933,,,,,,,,,B
31194143,733788662,0,1011023638,secondary,东华门大街,False,False,112.54425565536235,"LINESTRING (116.4003856 39.913891, 116.3990678 39.9138384)",112.54425565536235,1.566744066927123,0.0010533927286591046,,,,,,,,,B
31194143,733788139,0,173229518,secondary,南河沿大街,False,True,210.72378938277586,"LINESTRING (116.4003856 39.913891, 116.4004737 39.9126721, 116.4004898 39.9125116, 116.4005231 39.9119989)",210.72378938277586,1.7091890225661759,0.0285164211449653,,,,,,,,,B
31194143,733789081,0,173229536,secondary,北河沿大街,False,False,152.9342390380096,"LINESTRING (116.4003856 39.913891, 116.400351 39.9143914, 116.4003509 39.914415, 116.4003232 39.9152654)",152.9342390380096,1.5961899800913377,0.002198444025925257,,,,,,,,,B
31194144,12543092603,0,30802677,secondary,金鱼胡同,False,False,10.789218128924364,"LINESTRING (116.4115736 39.9141607, 116.4114471 39.9141599)",10.789218128924364,1.7223127100725435,0.001606425702811245,,,,,,,,,B
31194144,266112527,0,25109457,primary,东四南大街,False,False,79.58110968296671,"LINESTRING (116.4115736 39.9141607, 116.4115484 39.9148156, 116.4115475 39.9148761)",79.58110968296671,2.0702730341115227,0.010227204320493968,,,,,,,,,B
31194144,8559502660,0,229774175,secondary,金宝街,True,False,241.16469157204574,"LINESTRING (116.4115736 39.9141607, 116.4117098 39.91415, 116.4117663 39.9141462, 116.4128077 39.9141495, 116.4132119 39.9141462, 116.4144003 39.9141424)",254.0370514755484,3.3261436740105537,0.003944113355635246,,,,,,,,,B
31194144,12543078098,0,723293438,primary,东单北大街,False,True,128.95600099429328,"LINESTRING (116.4115736 39.9141607, 116.4115978 39.91345, 116.4116092 39.9130013)",128.95600099429328,1.7340829912915472,0.010071191260402066,,,,,,,,,B
31194145,733859146,0,25081372,secondary,金宝街,True,False,156.89259093836904,"LINESTRING (116.4203626 39.9142291, 116.4185231 39.9142421)",202.1742660380674,8.577665200160366,0.009685565961203846,,,,,,,,,B
31194145,8559502659,0,229773673,secondary,朝阳门南小街,True,False,9.393752006873404,"LINESTRING (116.4203626 39.9142291, 116.4203817 39.9141459)",31.339375464214704,5.298574403415747,0.03808374110288406,,,,,,,,,B
31194147,384057956,0,25109457,primary,东四南大街,False,True,48.63054934663273,"LINESTRING (116.4114267 39.9174093, 116.4114524 39.9169724)",48.63054934663273,1.6468113088493699,0.024038337504192358,,,,,,,,,B
31194147,9591211179,0,229775895,primary,东四南大街,False,False,594.7375332781951,"LINESTRING (116.4114267 39.9174093, 116.4114222 39.9176845, 116.4114117 39.9181567, 116.4114051 39.9184009, 116.4113991 39.9186197, 116.4113926 39.9188601, 116.4113856 39.9191168, 116.4113682 39.9197514, 116.4113656 39.9198481, 116.4113486 39.9204732, 116.4113478 39.9205021, 116.4113467 39.9205418, 116.4113304 39.9211404, 116.4113293 39.9211805, 116.4113223 39.9214357, 116.4113159 39.9216713, 116.4113102 39.9218804, 116.4112914 39.9225673, 116.4112888 39.9226639, 116.4112863 39.9227568)",594.7375332781951,1.7801820934913721,0.020569931402985245,,,,,,,,,B
31194147,733859147,0,229775899,tertiary,灯市口大街,False,True,104.62883391111629,"LINESTRING (116.4114267 39.9174093, 116.4112707 39.9174013, 116.4112335 39.9173968, 116.4104908 39.9173611, 116.4103424 39.9173523, 116.4102026 39.9173545)",104.62883391111629,1.5123474545532696,0.0015111122577390218,,,,,,,,,B
31201008,733859830,0,59174460,residential,,False,True,103.01290495897722,"LINESTRING (116.4134008 39.9212191, 116.4133937 39.9221455)",103.01290495897722,1.2970881910177192,0.0002676659528907923,,,,,,,,,C
31201265,1362315799,0,24476184,residential,东总布胡同,False,True,13.46358120423766,"LINESTRING (116.4205538 39.910715, 116.4207098 39.9106965)",13.46358120423766,1.7902191746159828,0.0016410395328637893,,,,,,,,,C
31201265,266109235,0,229773673,secondary,朝阳门南小街,True,False,213.1522388910382,"LINESTRING (116.4205538 39.910715, 116.4205815 39.9102272, 116.4206098 39.9098763, 116.4206815 39.9088905, 116.4206856 39.9088008)",239.38123168746196,6.570280389228611,0.04818130480523092,,,,,,,,,B
31201268,1362315801,0,59174484,residential,赵堂子胡同,False,False,11.35012808721464,"LINESTRING (116.4204506 39.912862, 116.4205834 39.9128554)",11.35012808721464,1.7916586497091136,0.002651863700340262,,,,,,,,,C
31201268,6007826881,0,30802563,residential,东堂子胡同,False,True,332.89807692505474,"LINESTRING (116.4204506 39.912862, 116.4185104 39.912822, 116.4165482 39.9128088)",332.89807692505474,1.7562377366397695,0.0006618192971744222,,,,,,,,,C
31201268,31201265,0,229773673,secondary,朝阳门南小街,True,False,238.89805227569082,"LINESTRING (116.4204506 39.912862, 116.4204876 39.91209, 116.4205201 39.911412, 116.4205538 39.910715)",265.1191663848743,6.907860314555082,0.04336883580001663,,,,,,,,,B
31201271,390934174,0,229773670,secondary,朝阳门南小街,True,False,149.74605299423678,"LINESTRING (116.420191 39.9170371, 116.4203041 39.9156932)",678.7279961980207,5.143031900944501,0.03912394761057077,,,,,,,,,B
31201272,1362315804,0,30802555,residential,,False,False,11.539821875241671,"LINESTRING (116.4201576 39.9177719, 116.4202929 39.9177705)",11.539821875241671,1.67352912076064,0.002055903843783414,,,,,,,,,C
31201272,31201271,0,229773670,secondary,朝阳门南小街,True,False,81.75588440658674,"LINESTRING (116.4201576 39.9177719, 116.4201808 39.9172466, 116.420191 39.9170371)",746.7181647856708,13.555771050880754,0.03908338564823176,,,,,,,,,B
31201275,1362315807,0,59174469,residential,南竹杆胡同,False,True,11.470510831590516,"LINESTRING (116.4200322 39.9205644, 116.4201663 39.9205724)",11.470510831590516,1.6051008439919605,0.0017306915026272112,,,,,,,,,C
31201275,31201272,0,131710769,secondary,朝阳门南小街,True,False,310.708956470266,"LINESTRING (116.4200322 39.9205644, 116.4200665 39.9198699, 116.4200742 39.9194378, 116.4200927 39.9191009, 116.4201576 39.9177719)",334.76631858197476,6.50994051899001,0.027980945910694888,,,,,,,,,B
31331903,324664311,0,170857648,trunk_link,,True,False,44.294651446174186,"LINESTRING (116.375946 39.9475266, 116.3754448 39.9476317)",3420.271051011382,24.40184565224286,0.00024910491358725407,,,,,,,,,A
31331903,1190930363,0,"[33681961, 170857650]",trunk,北二环,True,False,531.7451095581637,"LINESTRING (116.375946 39.9475266, 116.3733022 39.9475194, 116.3713536 39.9475139, 116.370435 39.94749, 116.3697089 39.9474796)",5647.78507870648,44.79898880647108,0.00176688194605689,,3,,,,,,,A
31331906,1190930453,0,1052911053,trunk,北二环,True,False,301.6098082755598,"LINESTRING (116.3980371 39.9477018, 116.3944993 39.9476649)",3035.3221018721374,24.13387872189372,0.0017854429853604282,,3,,,,,,,A
31331978,9671433196,0,"[1052373270, 114917271]",trunk_link,,True,False,294.71008562671676,"LINESTRING (116.429338 39.9096974, 116.4293085 39.9094016, 116.4292657 39.9092431, 116.4291721 39.9090944, 116.4290372 39.9088405, 116.4289307 39.9087086, 116.4288854 39.9085573, 116.4288488 39.9083763, 116.4288461 39.9082919, 116.4288461 39.9081705, 116.4288951 39.9074041, 116.4288917 39.907382, 116.4288166 39.9072941, 116.4287308 39.9072591, 116.4286347 39.9072189)",1946.5761839071229,25.439729749205426,0.0005503097328643625,yes,,,,,,,,A
31331978,1300406491,0,173319137,trunk,东二环,True,False,150.52510543564233,"LINESTRING (116.429338 39.9096974, 116.4293901 39.9093524, 116.4294269 39.9083464)",3184.3956392575246,38.58040447384629,0.011999031099415507,,3,,,,,,,A
32387954,336377072,0,723619298,primary,东四十条桥,True,False,36.0394358120776,"LINESTRING (116.4271437 39.9321141, 116.4273044 39.9319861, 116.4274391 39.9318823)",345.309065403065,9.365452663297434,0.013668019687601226,,,,,,,,,B
32387957,245145493,0,325120924,primary,工人体育场北路,True,False,147.95256268283043,"LINESTRING (116.4286887 39.9322374, 116.4304239 39.9322423)",968.2522045520267,12.337116575843103,0.004821713692743852,,,,,,,,,B
32387957,10048650725,0,723619297,primary,东四十条桥,True,False,12.322409600344379,"LINESTRING (116.4286887 39.9322374, 116.4286861 39.9323482)",369.02609161479825,12.081258379977529,0.009097704164265915,,,,,,,,,B
32388118,1860131879,0,25109088,primary_link,,True,False,8.458496974520665,"LINESTRING (116.4025943 39.9319029, 116.4026935 39.9319034)",44.024607449452446,5.170156090879162,0.013338794148757773,,,,,,,,,B
32388118,733859080,0,"[1010380378, 4843675]",secondary,美术馆后街,True,False,379.4857402311757,"LINESTRING (116.4025943 39.9319029, 116.4026013 39.9317148, 116.4026267 39.9310333, 116.402742 39.928492)",456.2367320795395,8.402366195857935,0.010100358607879055,,,,,,,,,B
32615474,331148076,0,30065128,tertiary_link,,False,True,10.808498468657618,"LINESTRING (116.3433507 39.9310731, 116.3433517 39.9309759)",10.808498468657618,1.4605193380560548,0.0019628119902880617,,,,,,,,,B
32615474,1415627422,0,128009694,tertiary,车公庄北街,False,False,15.500597016362708,"LINESTRING (116.3433507 39.9310731, 116.3433508 39.9312125)",15.500597016362708,1.0327954134291213,1.4332848883041087e-07,,,,,,,,,B
32615475,9359990033,0,146741494,primary,车公庄大街,True,False,66.21779270739592,"LINESTRING (116.3478772 39.9311432, 116.3471058 39.9310744)",1091.9908751932926,14.520460440739477,0.0016235534572264791,,,,,,,,,B
32615475,9359990036,0,1014536321,tertiary,北礼士路,True,False,60.81659121735704,"LINESTRING (116.3478772 39.9311432, 116.347779 39.9311865, 116.3474505 39.9312039, 116.3473749 39.9312206, 116.3473204 39.9312636, 116.3472909 39.9313479)",1127.3102581247351,15.746984541291617,0.008198317896855087,,,,,,,,,B
32615481,342835769,0,162368410,tertiary_link,,False,True,17.57001884243589,"LINESTRING (116.3706008 39.9314618, 116.3706169 39.931449, 116.3707468 39.9313503)",17.57001884243589,1.5407084776829074,0.000572095663166585,,,,,,,,,B
32615481,10679301343,0,169221931,primary,地安门西大街,True,False,327.07317150712925,"LINESTRING (116.3706008 39.9314618, 116.3701401 39.9314639, 116.368433 39.9314069, 116.3681961 39.931399, 116.3670493 39.9313607, 116.3669376 39.931357, 116.366768 39.931361)",371.77744676679384,4.938580454206314,0.0341310997021634,,,,,,,,,B
32615484,340247549,0,30748898,residential,旌勇里,False,False,187.36888068888516,"LINESTRING (116.3767229 39.9317342, 116.3765707 39.9334152)",187.36888068888516,1.3712328989102125,0.00028758861283821943,,,,,,,,,C
32615484,342836797,0,235270873,primary,地安门西大街,True,False,128.36652517838593,"LINESTRING (116.3767229 39.9317342, 116.3752184 39.9316923)",596.6529972625938,14.199055385030153,0.04058446491175265,,,,,,,,,B
32618816,1742785935,0,162368415,secondary_link,,True,False,14.658503302565146,"LINESTRING (116.373703 39.9466787, 116.3738701 39.9467098)",859.5779459620547,12.388607763224538,0.019326341769648186,,,,,,,,,B
32618816,340245973,0,316369755,secondary,德胜门内大街,True,False,347.91516014948235,"LINESTRING (116.373703 39.9466787, 116.3735339 39.9456002, 116.3733287 39.9444694, 116.3732701 39.9440858, 116.3732895 39.9436627, 116.3733011 39.9435718)",1251.642711105099,13.373127913189432,0.004669068852139464,,,,,,,,,B
32618819,1356404774,0,"[29458991, 29458996, 139378008, 103140412, 1109603645]",tertiary_link,,True,False,145.3442982152151,"LINESTRING (116.3724547 39.9482971, 116.3725458 39.9481993, 116.372684 39.9480587, 116.3727544 39.9479922, 116.3728024 39.9479449, 116.372831 39.9479002, 116.3728537 39.9478577, 116.3728678 39.9478113, 116.3728758 39.947769, 116.3728793 39.9476884, 116.3728766 39.9472312, 116.3728822 39.9470899)",673.4776743626475,9.411127064097663,0.006895246940653407,yes,,,,,,,,B
32618819,1190930368,0,103140416,tertiary_link,,True,False,78.63022480436636,"LINESTRING (116.3724547 39.9482971, 116.3724175 39.9481822, 116.3724014 39.9481488, 116.3722534 39.9478427, 116.3721466 39.9477908, 116.3719798 39.9477688)",1527.6818524062032,18.21362856076483,0.006935952231481243,,,,,,,,,B
32618821,32618819,0,"[103140464, 103140419, 139378004, 121100429]",tertiary_link,,True,False,145.84720574913604,"LINESTRING (116.3725573 39.9495991, 116.3724805 39.9494122, 116.3724641 39.9492639, 116.3724607 39.9485885, 116.3724564 39.9484404, 116.3724547 39.9482971)",672.9747668287265,9.233881371204252,0.01383119917213465,yes,,,,,,,,B
32618837,1190930418,0,5158566,tertiary,德胜门东大街,True,False,523.7455706080228,"LINESTRING (116.3839776 39.9477155, 116.3778339 39.9476721)",1840.9892395542329,14.814493633626713,0.009504972065277527,,,,,,,,,B
32618837,1190930422,0,103140462,trunk_link,,True,False,45.83631643115884,"LINESTRING (116.3839776 39.9477155, 116.3834721 39.947575)",2323.111256721858,17.620726921447098,0.0012262468861885803,,,,,,,,,A
32877189,1803810848,0,26812214,primary,东直门内大街,True,False,9.906773514661776,"LINESTRING (116.4194138 39.9395643, 116.4194651 39.9395644, 116.41953 39.9395646)",32.1954529486697,5.097955982870131,0.007443263417696482,,,,,,,,,B
32877189,245145380,0,34104275,secondary,东直门南小街,True,False,503.27087684332713,"LINESTRING (116.4194138 39.9395643, 116.4194449 39.9385978, 116.4195135 39.9364632, 116.4195297 39.9359598, 116.419532 39.9358886, 116.4195328 39.9350394)",548.0059580207708,10.160839696523118,0.016901080410148806,,,,,,,,,B
