u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,Inverse SP,Cost of return,Edge Betweenness,width,bridge,junction,tunnel,access,ref,Groups
268130247,84724725,0,4449005,residential,,,Rue Pierre Brossolette,True,False,72.9370736245684,"LINESTRING (2.2903375 48.8945254, 2.2904186 48.8945601, 2.2911012 48.894852, 2.291174 48.8948829)",305.728821984352,6.611363761053725,0.0004629847837052,,,,,,,C
268130247,348769224,0,24668887,residential,,30,Rue ÃÂÃÂdouard Vaillant,True,False,27.410429761390688,"LINESTRING (2.2903375 48.8945254, 2.2902036 48.8946743, 2.2901488 48.8947384)",218.4774218557885,7.389319561993383,0.0008298693198255,,,,,,,C
268130292,268127168,0,190910670,residential,,,Rue Rivay,True,False,175.86666157238014,"LINESTRING (2.2911077 48.8924545, 2.2911359 48.892422, 2.2922207 48.8911364, 2.2922753 48.8910717)",343.2386089324554,8.23141318065933,0.0027957309299651,,,,,,,C
268130292,268130293,0,190910691,residential,,,Rue Louis Rouquier,True,False,64.86628869072113,"LINESTRING (2.2911077 48.8924545, 2.2911707 48.8924772, 2.2918075 48.8927298, 2.291872 48.8927504)",282.66205726699684,5.2029365153817935,0.0001917199939317,,,,,,,C
268130293,268129909,0,190910691,residential,,,Rue Louis Rouquier,True,False,72.41929254605041,"LINESTRING (2.291872 48.8927504, 2.2919376 48.8927765, 2.2926572 48.8930468, 2.2927289 48.893077)",872.335444878196,16.313150270705506,0.000473468447078,,,,,,,C
268130293,268129174,0,1240786714,residential,,50,Rue ÃÂÃÂdouard Vaillant,True,False,110.51640493334,"LINESTRING (2.291872 48.8927504, 2.2918368 48.8927898, 2.2911629 48.8935758, 2.2911493 48.8935899, 2.2911273 48.8936153)",237.011941024378,5.235976842542172,0.0014463524080821,,,,,,,C
268130824,268130896,0,24669040,residential,,,Rue TrÃÂÃÂ©bois,True,False,99.44021059671944,"LINESTRING (2.2886155 48.8925251, 2.2886504 48.8924866, 2.2892773 48.8917947, 2.2893116 48.8917568)",270.89684312935725,4.86838133734824,0.000157538883143,,,,,,,C
268130896,21292468,0,23564136,residential,,,Rue Louis Rouquier,True,False,83.6226492604759,"LINESTRING (2.2893116 48.8917568, 2.2893664 48.8917782, 2.2902276 48.8921151, 2.2902947 48.8921412)",286.7144044656008,4.707430288506756,1.760381808030932e-05,,,,,,,C
268130896,268130897,0,24669040,residential,,,Rue TrÃÂÃÂ©bois,True,False,195.2276573848731,"LINESTRING (2.2893116 48.8917568, 2.2893472 48.8917178, 2.2900234 48.8909778, 2.290637 48.8902898, 2.290675 48.8902472)",368.7699633863127,6.069462830306871,0.0005807731098926,,,,,,,C
268130897,268127167,0,24669040,residential,,,Rue TrÃÂÃÂ©bois,True,False,57.5112524684827,"LINESTRING (2.290675 48.8902472, 2.2907143 48.8902053, 2.2910399 48.8898544, 2.291085 48.8898058)",198.28579468268964,4.748730991200256,0.0010144473180845,,,,,,,C
268130897,268131300,0,758193946,residential,1,,Rue Louise Michel,True,False,82.11588719253065,"LINESTRING (2.290675 48.8902472, 2.2906271 48.8902238, 2.2898452 48.8898358, 2.2897782 48.8898026)",481.8817335786552,6.09396604698592,0.0007309734286746,,,,,,,C
268131300,489591067,0,24668626,residential,,,Rue Gabriel PÃÂÃÂ©ri,True,False,141.1052923963209,"LINESTRING (2.2897782 48.8898026, 2.2897291 48.8898569, 2.2893842 48.8902371, 2.2893447 48.8902806, 2.2890645 48.890591, 2.2887822 48.8908895)",422.892328374865,6.277620266072206,0.0004408380448299,,,,,,,C
268131300,281722307,0,758193946,residential,1,,Rue Louise Michel,True,False,81.87717993258431,"LINESTRING (2.2897782 48.8898026, 2.289717 48.8897749, 2.288947 48.8894008, 2.2888759 48.8893665)",308.3213602064478,5.876338541242179,0.0002995706808803,,,,,,,C
268133515,268129107,0,1217412374,residential,2,,Rue Voltaire,True,False,73.05650913682749,"LINESTRING (2.2887554 48.8938544, 2.288834 48.8938868, 2.2895324 48.8941752, 2.2896017 48.8942038)",201.188669345535,5.769456287518928,0.0004285197403668,,,,,,,C
268137684,268130896,0,23564136,residential,,,Rue Louis Rouquier,True,False,82.12774882963575,"LINESTRING (2.2883439 48.8913817, 2.2884061 48.8914064, 2.2892602 48.8917369, 2.2893116 48.8917568)",481.86987194155006,6.2357105526210255,0.0004408380448299,,,,,,,C
268146778,268146780,0,40807290,residential,,,Rue Jules Guesde,False,True,81.01351782732202,"LINESTRING (2.2947873 48.8909645, 2.2947011 48.8910492, 2.2944023 48.8913395, 2.2942396 48.8914992, 2.2941531 48.8915609)",81.01351782732203,1.7740070287552632,0.0003099888213571,,,,,,,C
268146778,353192566,0,331453175,residential,,30,Rue Jules Guesde,False,False,117.49967376312117,"LINESTRING (2.2947873 48.8909645, 2.294865 48.890889, 2.2952651 48.8905009, 2.2956134 48.8901629, 2.2956322 48.8901448, 2.2956888 48.8900897)",117.49967376312117,1.3527004556703344,0.0002533333572127,,,,,,,C
268146778,268146803,0,331453177,other,,50,Rue d'Alsace,False,False,101.79606894133444,"LINESTRING (2.2947873 48.8909645, 2.294616 48.8908871, 2.2945254 48.8908455, 2.2939449 48.8905789, 2.2938722 48.8905455, 2.293737 48.8904834, 2.2937288 48.8904797, 2.2936456 48.8904405)",101.79606894133444,1.373380066873658,0.0008900630203582,,,,,,,C
268146778,9032332748,0,976022007,residential,1,30,Rue d'Alsace,True,False,56.95554457628558,"LINESTRING (2.2947873 48.8909645, 2.2948492 48.8909658, 2.2949347 48.8909658, 2.2952809 48.8911536, 2.2953976 48.8912461)",55.8878054119072,1.647350239780885,0.0002999856592221,,,,,,,C
268146780,268146783,0,"[24670556, 1217409372]",residential,,30,Rue de Lorraine,True,False,360.75063510862566,"LINESTRING (2.2941531 48.8915609, 2.294242 48.8916153, 2.2948934 48.8920139, 2.2950481 48.8921086, 2.2954659 48.8923642, 2.2957133 48.8925156, 2.2958876 48.8926223, 2.2962242 48.892828, 2.2970672 48.8933433, 2.2976833 48.8937211, 2.2977741 48.8937641)",551.2983932730345,9.32165282347765,0.0001366152383279,,,,,,,C
268146780,268146778,0,40807290,residential,,,Rue Jules Guesde,False,False,81.01351782732203,"LINESTRING (2.2941531 48.8915609, 2.2942396 48.8914992, 2.2944023 48.8913395, 2.2947011 48.8910492, 2.2947873 48.8909645)",81.01351782732202,1.7740070287552638,0.0006128356470414,,,,,,,C
268146780,268127170,0,40807290,residential,,,Rue Jules Guesde,False,True,89.18245859383609,"LINESTRING (2.2941531 48.8915609, 2.2940682 48.8916232, 2.2935109 48.8921645, 2.2934557 48.8922181)",89.18245859383609,1.8305355953993887,2.7519616353833425e-05,,,,,,,C
268146783,9010339102,0,196757307,residential,,30,Rue Deguingand,True,False,91.64964371130723,"LINESTRING (2.2977741 48.8937641, 2.2978084 48.8937341, 2.2982984 48.8933059, 2.298459 48.8931726, 2.2984788 48.8931563, 2.2985019 48.8931418, 2.2985447 48.8931149)",820.3993846703529,9.305400622184676,0.001890095301305,,,,,,,C
268146803,664019752,0,"[83547409, 196736683]",other,3,50,Rue d'Alsace,False,False,109.08415717355922,"LINESTRING (2.2936456 48.8904405, 2.2935661 48.8904028, 2.2935613 48.8904005, 2.2931028 48.8901782, 2.2925917 48.8899306, 2.292562 48.8899164, 2.2924465 48.8898568)",109.08415717355923,1.7917803037728723,0.0010183568508839,,,,,,,C
268146803,268146778,0,331453177,other,,50,Rue d'Alsace,False,True,101.79606894133444,"LINESTRING (2.2936456 48.8904405, 2.2937288 48.8904797, 2.293737 48.8904834, 2.2938722 48.8905455, 2.2939449 48.8905789, 2.2945254 48.8908455, 2.294616 48.8908871, 2.2947873 48.8909645)",101.79606894133444,1.3733800668736569,0.000794727206561,,,,,,,C
268146806,9032332748,0,"[85649848, 976022005]",residential,,30,Rue d'Alsace,False,False,97.09047577964114,"LINESTRING (2.2964179 48.891805, 2.2963178 48.8917505, 2.2963148 48.8917489, 2.2960821 48.8916196, 2.2953976 48.8912461)",97.09047577964114,1.3710528775649495,0.0003539765255925,,,,,,,C
268146806,229097050,0,"[976272928, 85649851, 1217412380]",residential,,30,Rue d'Alsace,False,True,212.9478013453775,"LINESTRING (2.2964179 48.891805, 2.2964969 48.8918485, 2.2965037 48.891853, 2.2970999 48.8921786, 2.2973611 48.8923251, 2.2985081 48.8929559, 2.2985968 48.893005, 2.2986578 48.8930281)",212.9478013453775,1.535260351310015,0.0004949817979578,,,,,permissive,,C
268146817,268146806,0,27618688,residential,,,Rue Parfait Jans,True,False,106.80864313228446,"LINESTRING (2.2973247 48.8910559, 2.2973234 48.8910616, 2.2973211 48.89107, 2.2973174 48.891079, 2.2973137 48.8910854, 2.2973093 48.8910907, 2.2973036 48.8910967, 2.2972969 48.8911028, 2.2964696 48.8917635, 2.2964645 48.8917674, 2.2964179 48.891805)",435.0576758886101,7.363705468776832,0.0001318757488447,,,,,,,C
