u,v,key,osmid,bridge,oneway,lanes,highway,reversed,length,maxspeed,geometry,Cost of returning,Edge Betweenness,ref,name,tunnel,access,width,junction
122993666,1790748080,0,167700690,,False,,residential,True,189.464,,"LINESTRING (-118.2623756 34.0162526, -118.2639287 34.0169731, -118.2641694 34.0170848)",1.645884217374482,0.0005998852454812762,,East 32nd Street,,,,
122993914,122993917,0,13351157,,False,,residential,False,62.85,,"LINESTRING (-118.2837419 34.0772064, -118.284325 34.0771674, -118.2843372 34.0771673, -118.2844224 34.0771669)",1.2443622185056697,0.00024248302618816683,,John Street,,,,
122993917,122993914,0,13351157,,False,,residential,True,62.849999999999994,,"LINESTRING (-118.2844224 34.0771669, -118.2843372 34.0771673, -118.284325 34.0771674, -118.2837419 34.0772064)",1.2443622185056686,0.00024248302618816683,,John Street,,,,
122993917,123424116,0,603531504,,False,2,tertiary,False,171.535,30 mph,"LINESTRING (-118.2844224 34.0771669, -118.2844357 34.0785632, -118.2844362 34.0787095)",1.5279790788165808,0.0006292913849656525,,Hoover Street,,,,
122993917,60946398,0,"[603531504, 398611532]",,False,"['2', '3']",tertiary,True,50.057,30 mph,"LINESTRING (-118.2844224 34.0771669, -118.284421 34.0770597, -118.2844193 34.0768473, -118.284419 34.076809, -118.2844301 34.0767172)",1.4926195958555888,0.0012749913957635869,,"['Hoover Street', 'North Hoover Street']",,,,
122995499,122834017,0,13351480,,False,2,residential,True,200.512,,"LINESTRING (-118.2558762 34.071159, -118.2549573 34.07159, -118.2548258 34.0716392, -118.2547053 34.0716669, -118.2545952 34.0716633, -118.2544686 34.0716392, -118.2540092 34.0714668, -118.2539115 34.0714303)",1.3699246016596922,0.0006391718478324029,,West Edgeware Road,,,,
122995499,123048013,0,13383204,,False,2,residential,True,144.889,,"LINESTRING (-118.2558762 34.071159, -118.2558034 34.0711222, -118.2545604 34.0705854, -118.2544841 34.0705526)",1.306148963785918,0.00021531175330460314,,Kellam Avenue,,,,
122995499,122995502,0,161705339,,False,2,residential,False,122.79799999999999,,"LINESTRING (-118.2558762 34.071159, -118.256495 34.0708615, -118.2565312 34.0708424, -118.2566839 34.070762, -118.2568095 34.0706605, -118.2569323 34.0705109)",1.5744237433674138,0.0006708716661965606,,West Edgeware Road,,,,
122995502,122870664,0,161705347,,False,2,residential,False,97.52,,"LINESTRING (-118.2569323 34.0705109, -118.2574358 34.0697394)",1.4875726592551224,0.0008748326496601944,,West Edgeware Road,,,,
122995502,123048011,0,13386571,,False,2,residential,True,196.481,,"LINESTRING (-118.2569323 34.0705109, -118.256861 34.0704804, -118.2568468 34.0704743, -118.2558804 34.0700602, -118.2551092 34.0697292, -118.2550379 34.0696986)",1.516952492518982,8.351343613562864e-05,,Carroll Avenue,,,,
